Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2014,CA,California,Los Angeles,Census Tract,BRFSS,Unhealthy Behaviors,0644000-06037107020,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,27.7,26.3,29.0,,,"5,404","(34.2975505056, -118.45047945)",UNHBEH,OBESITY,0644000,06037107020,Obesity
2014,CA,California,Los Angeles,Census Tract,BRFSS,Unhealthy Behaviors,0644000-06037191420,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,28.5,27.0,29.8,,,"3,365","(34.0851214864, -118.28810291)",UNHBEH,OBESITY,0644000,06037191420,Obesity
2014,CA,California,Los Angeles,Census Tract,BRFSS,Unhealthy Behaviors,0644000-06037211802,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.6,20.0,21.3,,,"4,192","(34.0635374253, -118.30472541)",UNHBEH,OBESITY,0644000,06037211802,Obesity
2014,CA,California,Los Angeles,Census Tract,BRFSS,Unhealthy Behaviors,0644000-06037269700,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,24.0,23.1,25.0,,,"4,085","(34.0363360164, -118.387152888)",UNHBEH,OBESITY,0644000,06037269700,Obesity
2014,CA,California,Los Angeles,City,BRFSS,Unhealthy Behaviors,0644000,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,26.7,26.7,26.8,,,"3,792,621","(34.1182277898, -118.408500088)",UNHBEH,OBESITY,0644000,,Obesity
2014,CA,California,Los Angeles,City,BRFSS,Unhealthy Behaviors,0644000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,21.1,21.1,21.1,,,"3,792,621","(34.1182277898, -118.408500088)",UNHBEH,OBESITY,0644000,,Obesity
2014,CA,California,Los Angeles,Census Tract,BRFSS,Unhealthy Behaviors,0644000-06037101110,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,25.1,24.2,26.0,,,"4,731","(34.2594736124, -118.292986888)",UNHBEH,OBESITY,0644000,06037101110,Obesity
2014,CA,California,Los Angeles,Census Tract,BRFSS,Unhealthy Behaviors,0644000-06037101122,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.9,19.8,22.0,,,"3,664","(34.2677215381, -118.290147139)",UNHBEH,OBESITY,0644000,06037101122,Obesity
2014,CA,California,Los Angeles,Census Tract,BRFSS,Unhealthy Behaviors,0644000-06037101210,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,29.1,28.1,30.0,,,"5,990","(34.2529723884, -118.29073093)",UNHBEH,OBESITY,0644000,06037101210,Obesity
2014,CA,California,Los Angeles,Census Tract,BRFSS,Unhealthy Behaviors,0644000-06037101220,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,27.0,26.0,27.9,,,"3,363","(34.251608492, -118.281632269)",UNHBEH,OBESITY,0644000,06037101220,Obesity
