GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06037101110,06037101110,"Census Tract 1011.10, Los Angeles County, California",4898,401,3391,417,78,59,0,17,449,190,0,17,895,343,85,80,0,17,85,80
1400000US06037101122,06037101122,"Census Tract 1011.22, Los Angeles County, California",3491,361,2496,382,27,38,5,9,440,92,0,12,237,156,286,175,48,67,238,165
1400000US06037101210,06037101210,"Census Tract 1012.10, Los Angeles County, California",6216,616,4016,634,372,195,0,17,206,117,0,17,1346,544,276,177,91,109,185,121
1400000US06037101220,06037101220,"Census Tract 1012.20, Los Angeles County, California",2830,283,1820,272,98,102,23,39,341,103,0,12,338,120,210,130,49,56,161,106
1400000US06037101300,06037101300,"Census Tract 1013, Los Angeles County, California",4267,355,3711,348,23,30,5,9,367,148,0,12,135,107,26,39,0,12,26,39
1400000US06037101400,06037101400,"Census Tract 1014, Los Angeles County, California",4305,313,3258,318,142,137,8,13,296,92,0,12,400,241,201,143,0,12,201,143
1400000US06037102103,06037102103,"Census Tract 1021.03, Los Angeles County, California",1947,167,1749,192,0,12,24,32,91,67,0,12,50,51,33,37,12,18,21,28
1400000US06037102104,06037102104,"Census Tract 1021.04, Los Angeles County, California",3344,269,2676,255,63,38,0,12,515,188,0,12,36,16,54,61,43,58,11,18
1400000US06037102105,06037102105,"Census Tract 1021.05, Los Angeles County, California",1880,211,1249,279,37,49,5,8,131,130,0,12,305,182,153,147,109,143,44,36
