GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Family households:,Margin of Error; Income in the past 12 months below poverty level: - Family households:,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Estimate; Income in the past 12 months below poverty level: - Family households: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over",Estimate; Income in the past 12 months below poverty level: - Nonfamily households:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Family households:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households:,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over",Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over
1400000US06037101110,06037101110,"Census Tract 1011.10, Los Angeles County, California",1722,56,288,95,171,90,98,80,0,17,26,40,45,53,27,41,73,63,16,24,0,17,16,24,0,17,0,17,57,60,0,17,30,47,27,36,0,17,117,68,33,41,0,17,0,17,8,12,25,40,84,57,0,17,0,17,52,47,32,39,1434,105,1092,120,879,118,0,17,319,91,428,105,132,46,213,95,95,70,4,8,54,52,37,45,0,17,118,58,0,17,46,42,43,29,29,36,342,103,161,87,0,17,63,53,91,57,7,11,181,79,0,17,53,48,89,55,39,26
1400000US06037101122,06037101122,"Census Tract 1011.22, Los Angeles County, California",1206,83,63,52,24,31,0,12,0,12,0,12,0,12,0,12,24,31,0,12,0,12,0,12,0,12,0,12,24,31,0,12,24,31,0,12,0,12,39,40,31,38,0,12,0,12,8,13,23,36,8,13,0,12,0,12,8,13,0,12,1143,96,951,87,858,99,12,18,150,74,519,60,177,44,93,53,21,23,0,12,7,12,14,20,0,12,72,43,0,12,35,40,17,20,20,15,192,65,94,42,0,12,12,18,69,39,13,12,98,49,0,12,23,26,33,24,42,33
1400000US06037101210,06037101210,"Census Tract 1012.10, Los Angeles County, California",2204,104,539,163,306,126,169,110,0,17,113,86,56,57,0,17,137,74,34,38,0,17,21,32,13,22,0,17,103,68,0,17,94,67,9,15,0,17,233,118,123,80,0,17,70,66,53,49,0,17,110,77,16,26,0,17,42,48,52,51,1665,179,1062,175,654,176,22,33,255,101,275,120,102,53,408,120,159,92,0,17,62,52,97,75,0,17,249,91,0,17,93,68,156,68,0,17,603,157,298,123,0,17,213,109,85,60,0,17,305,115,0,17,105,80,133,74,67,43
1400000US06037101220,06037101220,"Census Tract 1012.20, Los Angeles County, California",1138,78,195,75,105,58,50,40,0,12,25,26,25,32,0,12,55,41,15,17,0,12,0,12,15,17,0,12,40,37,0,12,18,29,13,16,9,15,90,45,22,26,0,12,0,12,22,26,0,12,68,38,0,12,19,21,20,23,29,24,943,95,661,110,517,110,0,12,194,73,245,67,78,52,144,56,32,25,0,12,7,11,10,16,15,17,112,51,0,12,68,42,34,30,10,15,282,80,138,56,0,12,52,36,62,38,24,21,144,62,0,12,41,39,51,32,52,34
1400000US06037101300,06037101300,"Census Tract 1013, Los Angeles County, California",1509,65,107,66,6,10,6,10,0,12,0,12,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,101,63,6,9,0,12,6,9,0,12,0,12,95,65,0,12,0,12,36,36,59,53,1402,89,1078,110,965,107,9,14,265,63,498,83,193,54,113,63,76,53,0,12,38,42,25,32,13,15,37,30,0,12,1,8,28,27,8,13,324,94,150,73,0,12,45,41,45,44,60,46,174,60,0,12,50,40,67,39,57,33
1400000US06037101400,06037101400,"Census Tract 1014, Los Angeles County, California",1547,54,248,104,147,88,59,62,0,12,0,12,59,62,0,12,88,64,0,12,0,12,0,12,0,12,0,12,88,64,0,12,30,50,58,39,0,12,101,64,45,40,18,31,9,15,18,20,0,12,56,52,24,38,0,12,10,16,22,32,1299,121,991,109,708,109,0,12,151,66,387,69,170,76,283,96,105,69,0,12,65,58,40,30,0,12,178,85,7,13,61,60,79,61,31,35,308,86,142,65,0,12,36,51,83,47,23,21,166,61,0,12,8,13,97,50,61,36
1400000US06037102103,06037102103,"Census Tract 1021.03, Los Angeles County, California",688,53,46,39,26,33,26,33,0,12,0,12,26,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,24,8,14,0,12,8,14,0,12,0,12,12,19,0,12,0,12,12,19,0,12,642,60,453,59,357,60,0,12,65,34,209,51,83,31,96,44,38,32,0,12,26,23,0,12,12,20,58,34,0,12,32,28,13,16,13,14,189,71,25,20,0,12,0,12,25,20,0,12,164,70,0,12,37,30,56,48,71,38
1400000US06037102104,06037102104,"Census Tract 1021.04, Los Angeles County, California",1295,39,51,38,28,28,6,12,0,12,0,12,6,12,0,12,22,27,0,12,0,12,0,12,0,12,0,12,22,27,0,12,10,17,0,12,12,20,23,27,0,12,0,12,0,12,0,12,0,12,23,27,0,12,7,13,0,12,16,25,1244,53,829,104,726,115,6,12,171,68,413,78,136,51,103,60,36,27,14,22,0,12,22,23,0,12,67,57,0,12,16,20,45,55,6,10,415,102,126,72,0,12,74,66,27,29,25,26,289,85,0,12,21,30,137,73,131,63
1400000US06037102105,06037102105,"Census Tract 1021.05, Los Angeles County, California",572,12,102,90,37,37,37,37,0,12,30,35,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,65,86,4,10,0,12,0,12,4,10,0,12,61,83,0,12,0,12,0,12,61,83,470,89,355,79,220,72,0,12,111,64,87,44,22,26,135,64,40,38,0,12,33,37,7,11,0,12,95,53,0,12,53,51,34,34,8,12,115,52,75,46,0,12,37,37,21,19,17,25,40,37,0,12,26,32,14,18,0,12
