GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US06037101110,06037101110,"Census Tract 1011.10, Los Angeles County, California",25029,3064
1400000US06037101122,06037101122,"Census Tract 1011.22, Los Angeles County, California",46148,4991
1400000US06037101210,06037101210,"Census Tract 1012.10, Los Angeles County, California",17801,2451
1400000US06037101220,06037101220,"Census Tract 1012.20, Los Angeles County, California",20805,2571
1400000US06037101300,06037101300,"Census Tract 1013, Los Angeles County, California",35302,3684
1400000US06037101400,06037101400,"Census Tract 1014, Los Angeles County, California",29157,4115
1400000US06037102103,06037102103,"Census Tract 1021.03, Los Angeles County, California",29264,4095
1400000US06037102104,06037102104,"Census Tract 1021.04, Los Angeles County, California",38664,4065
1400000US06037102105,06037102105,"Census Tract 1021.05, Los Angeles County, California",22143,4400
1400000US06037102107,06037102107,"Census Tract 1021.07, Los Angeles County, California",25730,3422
1400000US06037103101,06037103101,"Census Tract 1031.01, Los Angeles County, California",28895,3049
1400000US06037103102,06037103102,"Census Tract 1031.02, Los Angeles County, California",29386,3301
1400000US06037103200,06037103200,"Census Tract 1032, Los Angeles County, California",25797,2985
1400000US06037103300,06037103300,"Census Tract 1033, Los Angeles County, California",45157,7086
1400000US06037103400,06037103400,"Census Tract 1034, Los Angeles County, California",30233,3970
1400000US06037104103,06037104103,"Census Tract 1041.03, Los Angeles County, California",17112,1962
1400000US06037104105,06037104105,"Census Tract 1041.05, Los Angeles County, California",13386,1590
1400000US06037104108,06037104108,"Census Tract 1041.08, Los Angeles County, California",14062,2243
1400000US06037104124,06037104124,"Census Tract 1041.24, Los Angeles County, California",24155,2819
1400000US06037104201,06037104201,"Census Tract 1042.01, Los Angeles County, California",12905,1318
1400000US06037104203,06037104203,"Census Tract 1042.03, Los Angeles County, California",12240,1415
1400000US06037104204,06037104204,"Census Tract 1042.04, Los Angeles County, California",16894,2921
1400000US06037104310,06037104310,"Census Tract 1043.10, Los Angeles County, California",12527,1227
1400000US06037104320,06037104320,"Census Tract 1043.20, Los Angeles County, California",13083,2126
1400000US06037104401,06037104401,"Census Tract 1044.01, Los Angeles County, California",14632,1929
1400000US06037104403,06037104403,"Census Tract 1044.03, Los Angeles County, California",12572,1742
1400000US06037104404,06037104404,"Census Tract 1044.04, Los Angeles County, California",12899,1620
1400000US06037104500,06037104500,"Census Tract 1045, Los Angeles County, California",13886,1827
1400000US06037104610,06037104610,"Census Tract 1046.10, Los Angeles County, California",12153,1420
1400000US06037104620,06037104620,"Census Tract 1046.20, Los Angeles County, California",13653,1720
1400000US06037104701,06037104701,"Census Tract 1047.01, Los Angeles County, California",8167,1136
1400000US06037104703,06037104703,"Census Tract 1047.03, Los Angeles County, California",11607,1972
1400000US06037104704,06037104704,"Census Tract 1047.04, Los Angeles County, California",16520,2370
1400000US06037104810,06037104810,"Census Tract 1048.10, Los Angeles County, California",13787,2151
1400000US06037104821,06037104821,"Census Tract 1048.21, Los Angeles County, California",12120,1372
1400000US06037104822,06037104822,"Census Tract 1048.22, Los Angeles County, California",12963,2140
1400000US06037106010,06037106010,"Census Tract 1060.10, Los Angeles County, California",28025,4311
1400000US06037106020,06037106020,"Census Tract 1060.20, Los Angeles County, California",18771,2385
