GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US47157000100,47157000100,"Census Tract 1, Shelby County, Tennessee",6429,536
1400000US47157000200,47157000200,"Census Tract 2, Shelby County, Tennessee",1000,269
1400000US47157000300,47157000300,"Census Tract 3, Shelby County, Tennessee",914,124
1400000US47157000400,47157000400,"Census Tract 4, Shelby County, Tennessee",1786,285
1400000US47157000600,47157000600,"Census Tract 6, Shelby County, Tennessee",1860,334
1400000US47157000700,47157000700,"Census Tract 7, Shelby County, Tennessee",4887,751
1400000US47157000800,47157000800,"Census Tract 8, Shelby County, Tennessee",2144,309
1400000US47157000900,47157000900,"Census Tract 9, Shelby County, Tennessee",3045,420
1400000US47157001100,47157001100,"Census Tract 11, Shelby County, Tennessee",3489,526
1400000US47157001200,47157001200,"Census Tract 12, Shelby County, Tennessee",3431,407
1400000US47157001300,47157001300,"Census Tract 13, Shelby County, Tennessee",3595,439
1400000US47157001400,47157001400,"Census Tract 14, Shelby County, Tennessee",1523,344
1400000US47157001500,47157001500,"Census Tract 15, Shelby County, Tennessee",1320,190
1400000US47157001600,47157001600,"Census Tract 16, Shelby County, Tennessee",3346,249
1400000US47157001700,47157001700,"Census Tract 17, Shelby County, Tennessee",3763,385
1400000US47157001900,47157001900,"Census Tract 19, Shelby County, Tennessee",1377,291
1400000US47157002000,47157002000,"Census Tract 20, Shelby County, Tennessee",1887,233
1400000US47157002100,47157002100,"Census Tract 21, Shelby County, Tennessee",1312,220
1400000US47157002400,47157002400,"Census Tract 24, Shelby County, Tennessee",2292,349
1400000US47157002500,47157002500,"Census Tract 25, Shelby County, Tennessee",3374,576
1400000US47157002600,47157002600,"Census Tract 26, Shelby County, Tennessee",2496,201
1400000US47157002700,47157002700,"Census Tract 27, Shelby County, Tennessee",2229,333
1400000US47157002800,47157002800,"Census Tract 28, Shelby County, Tennessee",3694,522
1400000US47157002900,47157002900,"Census Tract 29, Shelby County, Tennessee",4584,438
1400000US47157003000,47157003000,"Census Tract 30, Shelby County, Tennessee",3409,362
1400000US47157003100,47157003100,"Census Tract 31, Shelby County, Tennessee",3460,246
1400000US47157003200,47157003200,"Census Tract 32, Shelby County, Tennessee",3140,372
1400000US47157003300,47157003300,"Census Tract 33, Shelby County, Tennessee",2577,241
1400000US47157003400,47157003400,"Census Tract 34, Shelby County, Tennessee",2181,275
1400000US47157003500,47157003500,"Census Tract 35, Shelby County, Tennessee",3394,319
1400000US47157003600,47157003600,"Census Tract 36, Shelby County, Tennessee",1821,309
1400000US47157003700,47157003700,"Census Tract 37, Shelby County, Tennessee",1357,125
1400000US47157003800,47157003800,"Census Tract 38, Shelby County, Tennessee",1202,139
1400000US47157003900,47157003900,"Census Tract 39, Shelby County, Tennessee",1335,164
1400000US47157004200,47157004200,"Census Tract 42, Shelby County, Tennessee",2431,208
1400000US47157004300,47157004300,"Census Tract 43, Shelby County, Tennessee",1421,170
1400000US47157004500,47157004500,"Census Tract 45, Shelby County, Tennessee",565,136
1400000US47157004600,47157004600,"Census Tract 46, Shelby County, Tennessee",1341,179
1400000US47157005000,47157005000,"Census Tract 50, Shelby County, Tennessee",1103,215
1400000US47157005300,47157005300,"Census Tract 53, Shelby County, Tennessee",3582,394
1400000US47157005500,47157005500,"Census Tract 55, Shelby County, Tennessee",2168,379
1400000US47157005600,47157005600,"Census Tract 56, Shelby County, Tennessee",3746,428
1400000US47157005700,47157005700,"Census Tract 57, Shelby County, Tennessee",2098,419
1400000US47157005800,47157005800,"Census Tract 58, Shelby County, Tennessee",1136,312
1400000US47157005900,47157005900,"Census Tract 59, Shelby County, Tennessee",2489,630
1400000US47157006000,47157006000,"Census Tract 60, Shelby County, Tennessee",2182,338
1400000US47157006200,47157006200,"Census Tract 62, Shelby County, Tennessee",2273,305
1400000US47157006300,47157006300,"Census Tract 63, Shelby County, Tennessee",2309,258
1400000US47157006400,47157006400,"Census Tract 64, Shelby County, Tennessee",1679,302
1400000US47157006500,47157006500,"Census Tract 65, Shelby County, Tennessee",2927,390
