GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US47157000100,47157000100,"Census Tract 1, Shelby County, Tennessee",6429,536,4228,570,1146,347,37,55,852,200,0,17,144,160,22,27,0,17,22,27
1400000US47157000200,47157000200,"Census Tract 2, Shelby County, Tennessee",1000,269,4,6,968,277,17,26,0,12,0,12,0,12,11,19,0,12,11,19
1400000US47157000300,47157000300,"Census Tract 3, Shelby County, Tennessee",914,124,0,12,908,124,0,12,0,12,0,12,0,12,6,11,0,12,6,11
1400000US47157000400,47157000400,"Census Tract 4, Shelby County, Tennessee",1786,285,42,53,1718,277,0,12,0,12,0,12,0,12,26,30,0,12,26,30
1400000US47157000600,47157000600,"Census Tract 6, Shelby County, Tennessee",1860,334,1,4,1859,334,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157000700,47157000700,"Census Tract 7, Shelby County, Tennessee",4887,751,87,79,4661,730,0,12,103,106,0,12,36,56,0,12,0,12,0,12
1400000US47157000800,47157000800,"Census Tract 8, Shelby County, Tennessee",2144,309,27,29,2117,308,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157000900,47157000900,"Census Tract 9, Shelby County, Tennessee",3045,420,41,66,2974,407,0,12,0,12,17,27,0,12,13,21,0,12,13,21
1400000US47157001100,47157001100,"Census Tract 11, Shelby County, Tennessee",3489,526,1304,296,1573,376,0,12,0,12,0,12,544,357,68,83,7,13,61,77
1400000US47157001200,47157001200,"Census Tract 12, Shelby County, Tennessee",3431,407,2371,486,831,376,0,12,0,12,0,12,155,200,74,83,0,12,74,83
1400000US47157001300,47157001300,"Census Tract 13, Shelby County, Tennessee",3595,439,522,178,2603,494,7,11,0,12,0,12,397,271,66,59,0,12,66,59
1400000US47157001400,47157001400,"Census Tract 14, Shelby County, Tennessee",1523,344,128,102,1376,330,0,12,0,12,0,12,10,19,9,13,0,12,9,13
