GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1400000US47157000100,47157000100,"Census Tract 1, Shelby County, Tennessee",5461,397,3732,366,3722,365,3389,354,333,177,10,18,1729,387
1400000US47157000200,47157000200,"Census Tract 2, Shelby County, Tennessee",703,116,440,107,440,107,329,72,111,64,0,12,263,94
1400000US47157000300,47157000300,"Census Tract 3, Shelby County, Tennessee",810,114,425,101,425,101,334,111,91,57,0,12,385,130
1400000US47157000400,47157000400,"Census Tract 4, Shelby County, Tennessee",1300,182,736,135,736,135,556,113,180,97,0,12,564,133
1400000US47157000600,47157000600,"Census Tract 6, Shelby County, Tennessee",1608,242,608,132,608,132,417,108,191,73,0,12,1000,185
1400000US47157000700,47157000700,"Census Tract 7, Shelby County, Tennessee",3757,434,2182,409,2182,409,1761,354,421,210,0,12,1575,401
1400000US47157000800,47157000800,"Census Tract 8, Shelby County, Tennessee",1642,239,679,141,679,141,542,125,137,76,0,12,963,204
1400000US47157000900,47157000900,"Census Tract 9, Shelby County, Tennessee",2420,317,1029,205,1029,205,784,168,245,109,0,12,1391,220
1400000US47157001100,47157001100,"Census Tract 11, Shelby County, Tennessee",2646,397,1822,326,1822,326,1597,344,225,121,0,12,824,205
1400000US47157001200,47157001200,"Census Tract 12, Shelby County, Tennessee",2692,255,1700,261,1690,257,1564,248,126,61,10,16,992,223
1400000US47157001300,47157001300,"Census Tract 13, Shelby County, Tennessee",2675,272,1275,229,1275,229,1079,222,196,113,0,12,1400,241
1400000US47157001400,47157001400,"Census Tract 14, Shelby County, Tennessee",1180,225,625,160,625,160,538,141,87,65,0,12,555,108
1400000US47157001500,47157001500,"Census Tract 15, Shelby County, Tennessee",1168,152,627,134,627,134,478,135,149,75,0,12,541,106
1400000US47157001600,47157001600,"Census Tract 16, Shelby County, Tennessee",3012,216,1803,213,1803,213,1569,146,234,148,0,12,1209,217
1400000US47157001700,47157001700,"Census Tract 17, Shelby County, Tennessee",3299,319,2180,250,2180,250,1860,224,320,131,0,12,1119,225
1400000US47157001900,47157001900,"Census Tract 19, Shelby County, Tennessee",1198,243,521,155,521,155,359,139,162,101,0,12,677,157
1400000US47157002000,47157002000,"Census Tract 20, Shelby County, Tennessee",1334,147,758,137,758,137,620,122,138,78,0,12,576,113
1400000US47157002100,47157002100,"Census Tract 21, Shelby County, Tennessee",1039,177,596,144,596,144,542,148,54,33,0,12,443,155
1400000US47157002400,47157002400,"Census Tract 24, Shelby County, Tennessee",1679,250,1047,218,1047,218,753,183,294,136,0,12,632,166
1400000US47157002500,47157002500,"Census Tract 25, Shelby County, Tennessee",2751,526,1574,267,1574,267,1465,262,109,78,0,12,1177,409
1400000US47157002600,47157002600,"Census Tract 26, Shelby County, Tennessee",2150,183,1583,169,1583,169,1459,154,124,71,0,12,567,149
1400000US47157002700,47157002700,"Census Tract 27, Shelby County, Tennessee",1562,249,991,224,991,224,861,225,130,59,0,12,571,146
1400000US47157002800,47157002800,"Census Tract 28, Shelby County, Tennessee",2681,288,1296,238,1296,238,1140,234,156,93,0,12,1385,245
1400000US47157002900,47157002900,"Census Tract 29, Shelby County, Tennessee",3850,460,2748,334,2748,334,2500,306,248,123,0,12,1102,304
1400000US47157003000,47157003000,"Census Tract 30, Shelby County, Tennessee",2856,244,1502,190,1502,190,1352,176,150,87,0,12,1354,210
1400000US47157003100,47157003100,"Census Tract 31, Shelby County, Tennessee",3179,222,2351,231,2351,231,2263,232,88,62,0,12,828,177
1400000US47157003200,47157003200,"Census Tract 32, Shelby County, Tennessee",3026,346,1912,257,1912,257,1820,277,92,73,0,12,1114,263
1400000US47157003300,47157003300,"Census Tract 33, Shelby County, Tennessee",1985,151,1438,179,1438,179,1415,177,23,27,0,12,547,122
1400000US47157003400,47157003400,"Census Tract 34, Shelby County, Tennessee",1935,250,1490,194,1490,194,1359,193,131,99,0,12,445,179
1400000US47157003500,47157003500,"Census Tract 35, Shelby County, Tennessee",2800,240,2205,222,2205,222,2054,216,151,70,0,12,595,156
1400000US47157003600,47157003600,"Census Tract 36, Shelby County, Tennessee",1483,267,1033,245,1033,245,988,247,45,38,0,12,450,103
1400000US47157003700,47157003700,"Census Tract 37, Shelby County, Tennessee",1274,109,575,112,575,112,538,103,37,23,0,12,699,90
1400000US47157003800,47157003800,"Census Tract 38, Shelby County, Tennessee",1127,122,599,102,599,102,557,91,42,40,0,12,528,96
1400000US47157003900,47157003900,"Census Tract 39, Shelby County, Tennessee",1174,131,505,115,491,116,383,97,108,57,14,17,669,130
1400000US47157004200,47157004200,"Census Tract 42, Shelby County, Tennessee",2402,195,2048,201,2048,201,1915,213,133,76,0,12,354,101
1400000US47157004300,47157004300,"Census Tract 43, Shelby County, Tennessee",1331,150,1076,149,1076,149,1028,144,48,25,0,12,255,59
1400000US47157004500,47157004500,"Census Tract 45, Shelby County, Tennessee",347,93,152,51,152,51,134,42,18,15,0,12,195,72
1400000US47157004600,47157004600,"Census Tract 46, Shelby County, Tennessee",1009,129,650,147,650,147,579,143,71,44,0,12,359,101
