GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US48029110100,48029110100,"Census Tract 1101, Bexar County, Texas",3353,440
1400000US48029110300,48029110300,"Census Tract 1103, Bexar County, Texas",2890,480
1400000US48029110500,48029110500,"Census Tract 1105, Bexar County, Texas",1805,228
1400000US48029110600,48029110600,"Census Tract 1106, Bexar County, Texas",6210,1089
1400000US48029110700,48029110700,"Census Tract 1107, Bexar County, Texas",1819,458
1400000US48029110800,48029110800,"Census Tract 1108, Bexar County, Texas",1767,278
1400000US48029110900,48029110900,"Census Tract 1109, Bexar County, Texas",851,172
1400000US48029111000,48029111000,"Census Tract 1110, Bexar County, Texas",2033,275
1400000US48029120100,48029120100,"Census Tract 1201, Bexar County, Texas",6684,525
1400000US48029120300,48029120300,"Census Tract 1203, Bexar County, Texas",7397,22
1400000US48029120400,48029120400,"Census Tract 1204, Bexar County, Texas",6041,277
1400000US48029120501,48029120501,"Census Tract 1205.01, Bexar County, Texas",8237,966
1400000US48029120502,48029120502,"Census Tract 1205.02, Bexar County, Texas",5427,416
1400000US48029120600,48029120600,"Census Tract 1206, Bexar County, Texas",5908,772
1400000US48029120701,48029120701,"Census Tract 1207.01, Bexar County, Texas",5145,605
1400000US48029120702,48029120702,"Census Tract 1207.02, Bexar County, Texas",4748,432
1400000US48029120800,48029120800,"Census Tract 1208, Bexar County, Texas",6563,408
1400000US48029120901,48029120901,"Census Tract 1209.01, Bexar County, Texas",2145,248
1400000US48029120902,48029120902,"Census Tract 1209.02, Bexar County, Texas",6958,828
1400000US48029121000,48029121000,"Census Tract 1210, Bexar County, Texas",7403,663
1400000US48029121108,48029121108,"Census Tract 1211.08, Bexar County, Texas",6940,467
1400000US48029121110,48029121110,"Census Tract 1211.10, Bexar County, Texas",5160,268
1400000US48029121111,48029121111,"Census Tract 1211.11, Bexar County, Texas",6486,800
1400000US48029121112,48029121112,"Census Tract 1211.12, Bexar County, Texas",4087,341
1400000US48029121115,48029121115,"Census Tract 1211.15, Bexar County, Texas",5327,419
1400000US48029121116,48029121116,"Census Tract 1211.16, Bexar County, Texas",5132,554
1400000US48029121117,48029121117,"Census Tract 1211.17, Bexar County, Texas",4377,313
1400000US48029121118,48029121118,"Census Tract 1211.18, Bexar County, Texas",6007,443
1400000US48029121119,48029121119,"Census Tract 1211.19, Bexar County, Texas",5447,560
1400000US48029121120,48029121120,"Census Tract 1211.20, Bexar County, Texas",5577,394
1400000US48029121121,48029121121,"Census Tract 1211.21, Bexar County, Texas",3237,183
1400000US48029121122,48029121122,"Census Tract 1211.22, Bexar County, Texas",5344,372
1400000US48029121203,48029121203,"Census Tract 1212.03, Bexar County, Texas",4240,362
1400000US48029121204,48029121204,"Census Tract 1212.04, Bexar County, Texas",7185,490
1400000US48029121205,48029121205,"Census Tract 1212.05, Bexar County, Texas",4197,404
1400000US48029121206,48029121206,"Census Tract 1212.06, Bexar County, Texas",8175,619
1400000US48029121300,48029121300,"Census Tract 1213, Bexar County, Texas",6128,423
1400000US48029121402,48029121402,"Census Tract 1214.02, Bexar County, Texas",5885,409
1400000US48029121403,48029121403,"Census Tract 1214.03, Bexar County, Texas",5446,581
1400000US48029121404,48029121404,"Census Tract 1214.04, Bexar County, Texas",4574,514
1400000US48029121501,48029121501,"Census Tract 1215.01, Bexar County, Texas",8005,513
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",7873,586
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",4803,426
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",4784,407
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",4452,359
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",4975,382
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",4899,445
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",8096,641
1400000US48029121605,48029121605,"Census Tract 1216.05, Bexar County, Texas",2019,254
1400000US48029121606,48029121606,"Census Tract 1216.06, Bexar County, Texas",5129,434
1400000US48029121701,48029121701,"Census Tract 1217.01, Bexar County, Texas",3963,457
1400000US48029121702,48029121702,"Census Tract 1217.02, Bexar County, Texas",7082,704
1400000US48029121802,48029121802,"Census Tract 1218.02, Bexar County, Texas",8583,540
1400000US48029121803,48029121803,"Census Tract 1218.03, Bexar County, Texas",4812,371
1400000US48029121804,48029121804,"Census Tract 1218.04, Bexar County, Texas",7280,864
1400000US48029121808,48029121808,"Census Tract 1218.08, Bexar County, Texas",3486,207
1400000US48029121809,48029121809,"Census Tract 1218.09, Bexar County, Texas",5027,420
1400000US48029121810,48029121810,"Census Tract 1218.10, Bexar County, Texas",4889,380
1400000US48029121811,48029121811,"Census Tract 1218.11, Bexar County, Texas",4851,266
1400000US48029121812,48029121812,"Census Tract 1218.12, Bexar County, Texas",6187,672
1400000US48029121813,48029121813,"Census Tract 1218.13, Bexar County, Texas",1571,181
1400000US48029121903,48029121903,"Census Tract 1219.03, Bexar County, Texas",5127,342
1400000US48029121904,48029121904,"Census Tract 1219.04, Bexar County, Texas",3582,429
1400000US48029121905,48029121905,"Census Tract 1219.05, Bexar County, Texas",5663,470
1400000US48029121906,48029121906,"Census Tract 1219.06, Bexar County, Texas",5348,416
1400000US48029121907,48029121907,"Census Tract 1219.07, Bexar County, Texas",10800,560
1400000US48029121908,48029121908,"Census Tract 1219.08, Bexar County, Texas",2455,182
1400000US48029121909,48029121909,"Census Tract 1219.09, Bexar County, Texas",5542,591
1400000US48029121910,48029121910,"Census Tract 1219.10, Bexar County, Texas",4402,293
1400000US48029130200,48029130200,"Census Tract 1302, Bexar County, Texas",2158,386
1400000US48029130300,48029130300,"Census Tract 1303, Bexar County, Texas",3356,365
1400000US48029130401,48029130401,"Census Tract 1304.01, Bexar County, Texas",3787,698
1400000US48029130402,48029130402,"Census Tract 1304.02, Bexar County, Texas",4335,522
1400000US48029130500,48029130500,"Census Tract 1305, Bexar County, Texas",4332,532
1400000US48029130600,48029130600,"Census Tract 1306, Bexar County, Texas",4535,580
1400000US48029130700,48029130700,"Census Tract 1307, Bexar County, Texas",1987,548
1400000US48029130800,48029130800,"Census Tract 1308, Bexar County, Texas",5707,523
1400000US48029130900,48029130900,"Census Tract 1309, Bexar County, Texas",4426,517
1400000US48029131000,48029131000,"Census Tract 1310, Bexar County, Texas",5024,557
1400000US48029131100,48029131100,"Census Tract 1311, Bexar County, Texas",2684,510
1400000US48029131200,48029131200,"Census Tract 1312, Bexar County, Texas",2772,362
1400000US48029131300,48029131300,"Census Tract 1313, Bexar County, Texas",6586,919
1400000US48029131401,48029131401,"Census Tract 1314.01, Bexar County, Texas",7439,615
1400000US48029131402,48029131402,"Census Tract 1314.02, Bexar County, Texas",2750,271
1400000US48029131503,48029131503,"Census Tract 1315.03, Bexar County, Texas",3747,408
1400000US48029131504,48029131504,"Census Tract 1315.04, Bexar County, Texas",3391,381
1400000US48029131505,48029131505,"Census Tract 1315.05, Bexar County, Texas",3793,399
1400000US48029131506,48029131506,"Census Tract 1315.06, Bexar County, Texas",3259,411
1400000US48029131507,48029131507,"Census Tract 1315.07, Bexar County, Texas",6951,877
1400000US48029131601,48029131601,"Census Tract 1316.01, Bexar County, Texas",2768,352
1400000US48029131606,48029131606,"Census Tract 1316.06, Bexar County, Texas",5168,520
1400000US48029131608,48029131608,"Census Tract 1316.08, Bexar County, Texas",5631,536
1400000US48029131609,48029131609,"Census Tract 1316.09, Bexar County, Texas",9006,911
1400000US48029131610,48029131610,"Census Tract 1316.10, Bexar County, Texas",5555,511
1400000US48029131611,48029131611,"Census Tract 1316.11, Bexar County, Texas",1331,182
1400000US48029131612,48029131612,"Census Tract 1316.12, Bexar County, Texas",1884,372
1400000US48029131613,48029131613,"Census Tract 1316.13, Bexar County, Texas",4926,397
1400000US48029131614,48029131614,"Census Tract 1316.14, Bexar County, Texas",4111,585
1400000US48029131615,48029131615,"Census Tract 1316.15, Bexar County, Texas",7350,653
1400000US48029131700,48029131700,"Census Tract 1317, Bexar County, Texas",1166,185
1400000US48029131801,48029131801,"Census Tract 1318.01, Bexar County, Texas",2508,280
1400000US48029131802,48029131802,"Census Tract 1318.02, Bexar County, Texas",5479,672
1400000US48029140100,48029140100,"Census Tract 1401, Bexar County, Texas",1699,188
1400000US48029140200,48029140200,"Census Tract 1402, Bexar County, Texas",2655,287
1400000US48029140300,48029140300,"Census Tract 1403, Bexar County, Texas",3456,368
1400000US48029140400,48029140400,"Census Tract 1404, Bexar County, Texas",3702,484
1400000US48029140500,48029140500,"Census Tract 1405, Bexar County, Texas",3999,421
1400000US48029140600,48029140600,"Census Tract 1406, Bexar County, Texas",2641,278
1400000US48029140700,48029140700,"Census Tract 1407, Bexar County, Texas",4683,429
1400000US48029140800,48029140800,"Census Tract 1408, Bexar County, Texas",5602,667
1400000US48029140900,48029140900,"Census Tract 1409, Bexar County, Texas",1923,209
1400000US48029141000,48029141000,"Census Tract 1410, Bexar County, Texas",3593,511
1400000US48029141101,48029141101,"Census Tract 1411.01, Bexar County, Texas",4314,447
1400000US48029141102,48029141102,"Census Tract 1411.02, Bexar County, Texas",3464,398
1400000US48029141200,48029141200,"Census Tract 1412, Bexar County, Texas",6587,758
1400000US48029141300,48029141300,"Census Tract 1413, Bexar County, Texas",5820,582
1400000US48029141402,48029141402,"Census Tract 1414.02, Bexar County, Texas",3989,440
1400000US48029141403,48029141403,"Census Tract 1414.03, Bexar County, Texas",4055,420
1400000US48029141404,48029141404,"Census Tract 1414.04, Bexar County, Texas",5207,513
1400000US48029141600,48029141600,"Census Tract 1416, Bexar County, Texas",4970,284
1400000US48029141700,48029141700,"Census Tract 1417, Bexar County, Texas",5054,501
1400000US48029141800,48029141800,"Census Tract 1418, Bexar County, Texas",4699,601
1400000US48029141900,48029141900,"Census Tract 1419, Bexar County, Texas",6252,995
1400000US48029150100,48029150100,"Census Tract 1501, Bexar County, Texas",5424,628
1400000US48029150300,48029150300,"Census Tract 1503, Bexar County, Texas",4845,563
1400000US48029150400,48029150400,"Census Tract 1504, Bexar County, Texas",3595,467
1400000US48029150501,48029150501,"Census Tract 1505.01, Bexar County, Texas",5071,423
1400000US48029150502,48029150502,"Census Tract 1505.02, Bexar County, Texas",4231,524
1400000US48029150600,48029150600,"Census Tract 1506, Bexar County, Texas",4702,496
1400000US48029150700,48029150700,"Census Tract 1507, Bexar County, Texas",6093,707
1400000US48029150800,48029150800,"Census Tract 1508, Bexar County, Texas",3519,399
1400000US48029150900,48029150900,"Census Tract 1509, Bexar County, Texas",5768,662
1400000US48029151000,48029151000,"Census Tract 1510, Bexar County, Texas",3282,380
1400000US48029151100,48029151100,"Census Tract 1511, Bexar County, Texas",7129,665
1400000US48029151200,48029151200,"Census Tract 1512, Bexar County, Texas",10394,1192
1400000US48029151301,48029151301,"Census Tract 1513.01, Bexar County, Texas",5913,645
1400000US48029151302,48029151302,"Census Tract 1513.02, Bexar County, Texas",3425,331
1400000US48029151400,48029151400,"Census Tract 1514, Bexar County, Texas",4760,476
1400000US48029151500,48029151500,"Census Tract 1515, Bexar County, Texas",2671,316
1400000US48029151600,48029151600,"Census Tract 1516, Bexar County, Texas",7340,507
1400000US48029151700,48029151700,"Census Tract 1517, Bexar County, Texas",7090,750
1400000US48029151900,48029151900,"Census Tract 1519, Bexar County, Texas",6269,585
1400000US48029152000,48029152000,"Census Tract 1520, Bexar County, Texas",2309,344
1400000US48029152100,48029152100,"Census Tract 1521, Bexar County, Texas",4897,630
1400000US48029152201,48029152201,"Census Tract 1522.01, Bexar County, Texas",8255,908
1400000US48029152202,48029152202,"Census Tract 1522.02, Bexar County, Texas",4581,869
1400000US48029160100,48029160100,"Census Tract 1601, Bexar County, Texas",6615,772
1400000US48029160200,48029160200,"Census Tract 1602, Bexar County, Texas",2294,305
1400000US48029160300,48029160300,"Census Tract 1603, Bexar County, Texas",5416,479
1400000US48029160400,48029160400,"Census Tract 1604, Bexar County, Texas",4393,374
1400000US48029160501,48029160501,"Census Tract 1605.01, Bexar County, Texas",4048,350
1400000US48029160502,48029160502,"Census Tract 1605.02, Bexar County, Texas",4216,436
1400000US48029160600,48029160600,"Census Tract 1606, Bexar County, Texas",5156,519
1400000US48029160701,48029160701,"Census Tract 1607.01, Bexar County, Texas",3285,256
1400000US48029160702,48029160702,"Census Tract 1607.02, Bexar County, Texas",4808,498
1400000US48029160901,48029160901,"Census Tract 1609.01, Bexar County, Texas",2885,424
1400000US48029160902,48029160902,"Census Tract 1609.02, Bexar County, Texas",5131,650
1400000US48029161000,48029161000,"Census Tract 1610, Bexar County, Texas",3840,383
1400000US48029161100,48029161100,"Census Tract 1611, Bexar County, Texas",9631,775
1400000US48029161200,48029161200,"Census Tract 1612, Bexar County, Texas",2879,389
1400000US48029161302,48029161302,"Census Tract 1613.02, Bexar County, Texas",6121,401
1400000US48029161303,48029161303,"Census Tract 1613.03, Bexar County, Texas",5258,847
1400000US48029161304,48029161304,"Census Tract 1613.04, Bexar County, Texas",4440,520
1400000US48029161400,48029161400,"Census Tract 1614, Bexar County, Texas",7926,1301
1400000US48029161501,48029161501,"Census Tract 1615.01, Bexar County, Texas",7907,795
1400000US48029161503,48029161503,"Census Tract 1615.03, Bexar County, Texas",4023,379
1400000US48029161504,48029161504,"Census Tract 1615.04, Bexar County, Texas",4685,561
