GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US48029110100,48029110100,"Census Tract 1101, Bexar County, Texas",3353,440,2597,395,150,84,28,34,18,20,0,13,503,241,57,34,7,10,50,32
1400000US48029110300,48029110300,"Census Tract 1103, Bexar County, Texas",2890,480,1746,466,357,247,21,26,27,43,0,13,671,329,68,67,0,13,68,67
1400000US48029110500,48029110500,"Census Tract 1105, Bexar County, Texas",1805,228,1426,222,33,33,0,13,46,73,0,13,292,116,8,11,0,13,8,11
1400000US48029110600,48029110600,"Census Tract 1106, Bexar County, Texas",6210,1089,3678,549,709,366,77,121,27,25,0,18,1603,446,116,134,67,120,49,59
1400000US48029110700,48029110700,"Census Tract 1107, Bexar County, Texas",1819,458,1609,472,82,47,9,10,5,9,0,13,108,152,6,10,0,13,6,10
1400000US48029110800,48029110800,"Census Tract 1108, Bexar County, Texas",1767,278,1363,282,97,72,28,35,11,14,0,13,233,169,35,41,26,40,9,9
1400000US48029110900,48029110900,"Census Tract 1109, Bexar County, Texas",851,172,649,148,28,28,9,10,6,10,0,13,154,152,5,8,0,13,5,8
1400000US48029111000,48029111000,"Census Tract 1110, Bexar County, Texas",2033,275,1504,267,144,83,8,9,17,18,0,13,341,131,19,25,4,8,15,23
1400000US48029120100,48029120100,"Census Tract 1201, Bexar County, Texas",6684,525,4337,443,1132,243,32,30,268,122,69,64,249,162,597,216,59,38,538,212
1400000US48029120300,48029120300,"Census Tract 1203, Bexar County, Texas",7397,22,6355,392,110,130,0,18,69,58,22,38,171,140,670,348,106,90,564,381
1400000US48029120400,48029120400,"Census Tract 1204, Bexar County, Texas",6041,277,5766,336,80,117,0,18,21,30,0,18,29,36,145,116,0,18,145,116
1400000US48029120501,48029120501,"Census Tract 1205.01, Bexar County, Texas",8237,966,5320,968,1820,423,41,52,132,121,0,18,485,280,439,284,136,146,303,247
1400000US48029120502,48029120502,"Census Tract 1205.02, Bexar County, Texas",5427,416,3939,487,727,190,14,25,96,83,0,18,516,344,135,108,89,82,46,46
1400000US48029120600,48029120600,"Census Tract 1206, Bexar County, Texas",5908,772,5046,712,151,110,17,27,134,89,22,37,300,197,238,177,24,35,214,173
1400000US48029120701,48029120701,"Census Tract 1207.01, Bexar County, Texas",5145,605,4298,607,247,183,0,18,134,110,19,33,391,279,56,56,38,56,18,25
1400000US48029120702,48029120702,"Census Tract 1207.02, Bexar County, Texas",4748,432,4123,436,142,186,16,20,228,169,0,13,73,91,166,102,12,20,154,103
1400000US48029120800,48029120800,"Census Tract 1208, Bexar County, Texas",6563,408,6260,404,33,47,0,18,78,72,0,18,41,47,151,116,0,18,151,116
1400000US48029120901,48029120901,"Census Tract 1209.01, Bexar County, Texas",2145,248,1697,282,270,161,58,76,61,94,0,13,46,64,13,20,0,13,13,20
1400000US48029120902,48029120902,"Census Tract 1209.02, Bexar County, Texas",6958,828,4777,809,1053,488,0,18,114,98,43,59,798,509,173,102,30,45,143,94
1400000US48029121000,48029121000,"Census Tract 1210, Bexar County, Texas",7403,663,6323,695,470,205,19,21,69,57,0,18,173,128,349,193,71,77,278,186
1400000US48029121108,48029121108,"Census Tract 1211.08, Bexar County, Texas",6940,467,5928,465,211,182,36,39,272,161,0,18,430,295,63,57,14,22,49,53
