GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1400000US48029110100,48029110100,"Census Tract 1101, Bexar County, Texas",3211,400,1796,270,1695,272,1632,264,63,46,101,64,1415,326
1400000US48029110300,48029110300,"Census Tract 1103, Bexar County, Texas",2389,357,1382,201,1373,201,1162,190,211,136,9,19,1007,260
1400000US48029110500,48029110500,"Census Tract 1105, Bexar County, Texas",1128,126,578,119,578,119,369,102,209,72,0,13,550,102
1400000US48029110600,48029110600,"Census Tract 1106, Bexar County, Texas",5521,1060,994,263,994,263,788,225,206,100,0,18,4527,1057
1400000US48029110700,48029110700,"Census Tract 1107, Bexar County, Texas",1296,271,671,224,671,224,611,231,60,51,0,13,625,189
1400000US48029110800,48029110800,"Census Tract 1108, Bexar County, Texas",1527,245,887,139,887,139,812,139,75,57,0,13,640,214
1400000US48029110900,48029110900,"Census Tract 1109, Bexar County, Texas",756,140,543,117,528,113,510,113,18,29,15,14,213,85
1400000US48029111000,48029111000,"Census Tract 1110, Bexar County, Texas",1671,220,960,182,960,182,870,176,90,50,0,13,711,125
1400000US48029120100,48029120100,"Census Tract 1201, Bexar County, Texas",4951,469,4016,454,804,138,742,132,62,30,3212,450,935,154
1400000US48029120300,48029120300,"Census Tract 1203, Bexar County, Texas",5711,314,3691,332,3671,329,3430,358,241,167,20,29,2020,287
1400000US48029120400,48029120400,"Census Tract 1204, Bexar County, Texas",4743,253,2724,278,2696,280,2676,278,20,32,28,32,2019,242
1400000US48029120501,48029120501,"Census Tract 1205.01, Bexar County, Texas",6305,718,4092,527,3989,519,3568,505,421,216,103,66,2213,398
1400000US48029120502,48029120502,"Census Tract 1205.02, Bexar County, Texas",3983,376,2505,346,2505,346,2232,320,273,115,0,18,1478,190
1400000US48029120600,48029120600,"Census Tract 1206, Bexar County, Texas",4849,646,3362,557,3247,551,2907,572,340,164,115,77,1487,269
1400000US48029120701,48029120701,"Census Tract 1207.01, Bexar County, Texas",4398,592,2669,475,2653,473,2334,457,319,194,16,25,1729,367
1400000US48029120702,48029120702,"Census Tract 1207.02, Bexar County, Texas",4264,401,2446,347,2397,351,2258,319,139,110,49,57,1818,279
1400000US48029120800,48029120800,"Census Tract 1208, Bexar County, Texas",5212,370,3663,321,3547,298,3400,292,147,83,116,158,1549,297
1400000US48029120901,48029120901,"Census Tract 1209.01, Bexar County, Texas",1855,219,1051,178,1051,178,1017,183,34,40,0,13,804,163
1400000US48029120902,48029120902,"Census Tract 1209.02, Bexar County, Texas",5825,572,4092,487,3960,478,3635,477,325,152,132,78,1733,372
1400000US48029121000,48029121000,"Census Tract 1210, Bexar County, Texas",5958,467,3894,376,3894,376,3673,377,221,111,0,18,2064,280
1400000US48029121108,48029121108,"Census Tract 1211.08, Bexar County, Texas",6039,395,4360,359,4345,358,4058,357,287,132,15,24,1679,306
1400000US48029121110,48029121110,"Census Tract 1211.10, Bexar County, Texas",3980,234,2959,271,2953,273,2750,270,203,95,6,10,1021,162
1400000US48029121111,48029121111,"Census Tract 1211.11, Bexar County, Texas",5210,554,3974,477,3947,475,3774,480,173,114,27,42,1236,267
1400000US48029121112,48029121112,"Census Tract 1211.12, Bexar County, Texas",3309,245,2248,222,2237,223,2118,189,119,78,11,18,1061,154
1400000US48029121115,48029121115,"Census Tract 1211.15, Bexar County, Texas",4382,280,3038,301,3038,301,2959,294,79,64,0,18,1344,233
1400000US48029121116,48029121116,"Census Tract 1211.16, Bexar County, Texas",4085,344,2799,303,2775,301,2565,303,210,108,24,35,1286,209
1400000US48029121117,48029121117,"Census Tract 1211.17, Bexar County, Texas",3546,265,2866,267,2775,255,2603,243,172,86,91,106,680,136
1400000US48029121118,48029121118,"Census Tract 1211.18, Bexar County, Texas",4943,344,3986,315,3971,310,3737,302,234,106,15,26,957,180
1400000US48029121119,48029121119,"Census Tract 1211.19, Bexar County, Texas",4402,439,3284,453,3284,453,3189,443,95,90,0,18,1118,258
1400000US48029121120,48029121120,"Census Tract 1211.20, Bexar County, Texas",3980,283,3197,299,3197,299,2810,254,387,237,0,18,783,218
1400000US48029121121,48029121121,"Census Tract 1211.21, Bexar County, Texas",2554,192,1811,177,1801,180,1692,176,109,59,10,16,743,176
1400000US48029121122,48029121122,"Census Tract 1211.22, Bexar County, Texas",4463,292,2977,279,2948,280,2858,260,90,61,29,30,1486,259
1400000US48029121203,48029121203,"Census Tract 1212.03, Bexar County, Texas",3274,232,2239,215,2239,215,2071,184,168,88,0,13,1035,191
1400000US48029121204,48029121204,"Census Tract 1212.04, Bexar County, Texas",5917,396,4415,439,4361,443,3980,411,381,144,54,51,1502,260
1400000US48029121205,48029121205,"Census Tract 1212.05, Bexar County, Texas",2905,293,2000,261,2000,261,1818,268,182,77,0,13,905,207
1400000US48029121206,48029121206,"Census Tract 1212.06, Bexar County, Texas",6307,392,3864,402,3847,406,3389,388,458,230,17,28,2443,287
1400000US48029121300,48029121300,"Census Tract 1213, Bexar County, Texas",5303,404,3000,420,2990,418,2574,390,416,214,10,18,2303,355
1400000US48029121402,48029121402,"Census Tract 1214.02, Bexar County, Texas",4145,295,2825,246,2800,247,2477,257,323,145,25,30,1320,241
1400000US48029121403,48029121403,"Census Tract 1214.03, Bexar County, Texas",4231,426,2497,356,2467,359,2159,323,308,130,30,46,1734,275
1400000US48029121404,48029121404,"Census Tract 1214.04, Bexar County, Texas",3464,369,2005,291,2005,291,1727,287,278,133,0,13,1459,238
1400000US48029121501,48029121501,"Census Tract 1215.01, Bexar County, Texas",6331,427,4578,392,4507,410,4223,386,284,108,71,63,1753,295
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",6320,475,4394,363,4377,359,3935,319,442,163,17,31,1926,315
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",3762,329,2595,313,2547,313,2464,318,83,55,48,51,1167,224
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",3661,330,2320,302,2308,301,2171,284,137,107,12,19,1341,231
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",3692,279,2101,227,2087,226,1900,215,187,83,14,15,1591,183
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",3398,311,1998,215,1983,214,1824,191,159,88,15,22,1400,222
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",3863,386,2582,335,2504,336,2338,335,166,105,78,69,1281,348
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",5950,455,4439,479,4181,473,4015,475,166,102,258,153,1511,353
1400000US48029121605,48029121605,"Census Tract 1216.05, Bexar County, Texas",1638,162,911,143,905,144,858,137,47,40,6,10,727,173
1400000US48029121606,48029121606,"Census Tract 1216.06, Bexar County, Texas",4306,369,2897,418,2786,427,2620,394,166,125,111,93,1409,268
1400000US48029121701,48029121701,"Census Tract 1217.01, Bexar County, Texas",3232,337,1903,305,1903,305,1788,281,115,106,0,13,1329,245
1400000US48029121702,48029121702,"Census Tract 1217.02, Bexar County, Texas",5877,548,3985,480,3849,476,3669,517,180,116,136,92,1892,231
1400000US48029121802,48029121802,"Census Tract 1218.02, Bexar County, Texas",6236,334,4402,344,4370,341,4031,368,339,170,32,38,1834,320
1400000US48029121803,48029121803,"Census Tract 1218.03, Bexar County, Texas",3659,257,2627,234,2627,234,2532,239,95,52,0,18,1032,184
1400000US48029121804,48029121804,"Census Tract 1218.04, Bexar County, Texas",5193,600,3771,532,3743,527,3244,457,499,226,28,34,1422,255
1400000US48029121808,48029121808,"Census Tract 1218.08, Bexar County, Texas",2718,210,1851,207,1797,204,1642,208,155,97,54,48,867,169
1400000US48029121809,48029121809,"Census Tract 1218.09, Bexar County, Texas",3901,307,2541,246,2509,244,2388,237,121,88,32,34,1360,223
1400000US48029121810,48029121810,"Census Tract 1218.10, Bexar County, Texas",3412,198,2544,218,2544,218,2407,203,137,77,0,13,868,193
1400000US48029121811,48029121811,"Census Tract 1218.11, Bexar County, Texas",3387,161,2654,179,2617,176,2545,192,72,51,37,32,733,181
1400000US48029121812,48029121812,"Census Tract 1218.12, Bexar County, Texas",4642,501,3627,414,3627,414,3326,380,301,149,0,18,1015,217
1400000US48029121813,48029121813,"Census Tract 1218.13, Bexar County, Texas",1310,135,940,118,911,136,854,142,57,52,29,40,370,79
1400000US48029121903,48029121903,"Census Tract 1219.03, Bexar County, Texas",4102,277,2718,317,2708,319,2609,316,99,56,10,16,1384,235
1400000US48029121904,48029121904,"Census Tract 1219.04, Bexar County, Texas",2289,181,1750,180,1750,180,1658,181,92,96,0,13,539,159
1400000US48029121905,48029121905,"Census Tract 1219.05, Bexar County, Texas",4412,393,2922,288,2793,315,2678,310,115,107,129,96,1490,294
1400000US48029121906,48029121906,"Census Tract 1219.06, Bexar County, Texas",4254,318,3068,346,3052,344,2928,362,124,103,16,26,1186,295
1400000US48029121907,48029121907,"Census Tract 1219.07, Bexar County, Texas",7548,389,5851,458,5640,467,5419,455,221,165,211,99,1697,309
1400000US48029121908,48029121908,"Census Tract 1219.08, Bexar County, Texas",1819,160,1274,132,1226,132,1153,124,73,54,48,40,545,131
1400000US48029121909,48029121909,"Census Tract 1219.09, Bexar County, Texas",4123,470,3029,420,2962,433,2769,395,193,133,67,64,1094,229
1400000US48029121910,48029121910,"Census Tract 1219.10, Bexar County, Texas",3100,209,2338,199,2285,195,2137,213,148,92,53,47,762,138
1400000US48029130200,48029130200,"Census Tract 1302, Bexar County, Texas",1468,224,913,222,913,222,862,223,51,39,0,13,555,91
1400000US48029130300,48029130300,"Census Tract 1303, Bexar County, Texas",2353,258,1459,262,1459,262,1202,218,257,190,0,13,894,229
1400000US48029130401,48029130401,"Census Tract 1304.01, Bexar County, Texas",3002,526,1448,302,1448,302,1279,265,169,98,0,13,1554,347
1400000US48029130402,48029130402,"Census Tract 1304.02, Bexar County, Texas",2975,443,1475,268,1475,268,1347,257,128,76,0,13,1500,284
