Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2014,WA,Washington,Bellevue,City,BRFSS,Unhealthy Behaviors,5305210,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.8,18.6,18.9,,,"122,363","(47.5962437606, -122.153569982)",UNHBEH,OBESITY,5305210,,Obesity
2014,WA,Washington,Bellevue,City,BRFSS,Unhealthy Behaviors,5305210,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.3,16.2,16.3,,,"122,363","(47.5962437606, -122.153569982)",UNHBEH,OBESITY,5305210,,Obesity
2014,WA,Washington,Bellevue,Census Tract,BRFSS,Unhealthy Behaviors,5305210-53033022703,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,9,"(47.6513018199, -122.165399816)",UNHBEH,OBESITY,5305210,53033022703,Obesity
2014,WA,Washington,Bellevue,Census Tract,BRFSS,Unhealthy Behaviors,5305210-53033022801,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.7,15.1,16.4,,,"8,314","(47.646432188, -122.153220975)",UNHBEH,OBESITY,5305210,53033022801,Obesity
2014,WA,Washington,Bellevue,Census Tract,BRFSS,Unhealthy Behaviors,5305210-53033022803,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,9,"(47.6314941586, -122.134968374)",UNHBEH,OBESITY,5305210,53033022803,Obesity
2014,WA,Washington,Bellevue,Census Tract,BRFSS,Unhealthy Behaviors,5305210-53033022901,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.1,18.0,20.2,,,"2,924","(47.6365016912, -122.118477161)",UNHBEH,OBESITY,5305210,53033022901,Obesity
2014,WA,Washington,Bellevue,Census Tract,BRFSS,Unhealthy Behaviors,5305210-53033023000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.4,19.2,21.6,,,"5,190","(47.6205716865, -122.101363184)",UNHBEH,OBESITY,5305210,53033023000,Obesity
2014,WA,Washington,Bellevue,Census Tract,BRFSS,Unhealthy Behaviors,5305210-53033023100,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.0,19.0,21.2,,,"3,792","(47.6046199741, -122.107334514)",UNHBEH,OBESITY,5305210,53033023100,Obesity
2014,WA,Washington,Bellevue,Census Tract,BRFSS,Unhealthy Behaviors,5305210-53033023201,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.7,14.9,16.5,,,"6,223","(47.6186066422, -122.137540888)",UNHBEH,OBESITY,5305210,53033023201,Obesity
2014,WA,Washington,Bellevue,Census Tract,BRFSS,Unhealthy Behaviors,5305210-53033023202,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,22.7,21.8,23.7,,,"4,345","(47.6179635713, -122.127072764)",UNHBEH,OBESITY,5305210,53033023202,Obesity
