GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1400000US53001950100,53001950100,"Census Tract 9501, Adams County, Washington",136,86,47,50,5,10,0,12,4,6,0,12,0,12,0,12,5,8,4,8,0,12,24,48,5,7,0,12,0,12,0,12,89,67,15,22,0,12,0,12,12,14,3,5,0,12,14,28,10,13,16,27,8,8,9,10,0,12,2,4,0,12
1400000US53001950200,53001950200,"Census Tract 9502, Adams County, Washington",169,80,69,34,5,6,3,4,1,2,10,12,0,12,0,12,2,3,0,12,11,13,20,16,6,8,10,14,1,2,0,12,100,52,20,13,9,11,11,11,6,9,3,5,4,6,0,12,5,7,9,10,27,20,6,8,0,12,0,12,0,12
1400000US53001950300,53001950300,"Census Tract 9503, Adams County, Washington",5334,310,2847,244,390,117,423,138,346,122,174,63,99,56,265,95,209,65,144,83,325,96,276,68,147,62,42,34,7,9,0,17,2487,180,321,114,221,110,352,121,223,50,100,38,250,54,151,62,74,49,343,76,302,55,87,49,42,30,20,31,1,2
1400000US53001950400,53001950400,"Census Tract 9504, Adams County, Washington",2082,335,1031,218,131,82,87,52,106,51,66,39,78,55,117,79,72,45,60,60,164,92,107,46,12,14,0,12,31,20,0,12,1051,184,152,73,148,80,102,50,45,40,7,12,143,46,75,42,80,51,94,49,97,43,66,42,0,12,19,24,23,27
1400000US53001950500,53001950500,"Census Tract 9505, Adams County, Washington",3809,363,1959,248,318,98,209,67,183,84,107,65,60,39,146,94,133,54,213,81,295,101,89,39,120,61,47,29,29,21,10,16,1850,181,278,85,288,101,188,81,40,34,89,39,50,33,150,53,261,65,226,84,59,39,117,50,42,45,62,31,0,12
1400000US53003960100,53003960100,"Census Tract 9601, Asotin County, Washington",58,52,21,24,0,12,0,12,14,20,0,12,0,12,0,12,0,12,0,12,3,6,0,12,1,4,3,5,0,12,0,12,37,33,0,12,0,12,11,18,10,20,0,12,4,7,0,12,4,7,0,12,4,6,2,4,2,6,0,12,0,12
1400000US53003960200,53003960200,"Census Tract 9602, Asotin County, Washington",72,61,23,28,0,12,6,10,0,12,0,12,0,12,0,12,0,12,0,12,17,21,0,12,0,12,0,12,0,12,0,12,49,40,6,10,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,25,0,12,15,21,6,10,0,12
1400000US53003960300,53003960300,"Census Tract 9603, Asotin County, Washington",58,44,36,34,0,12,5,8,0,12,5,9,0,12,0,12,0,12,0,12,24,32,0,12,2,4,0,12,0,12,0,12,22,19,0,12,0,12,0,12,5,8,0,12,0,12,0,12,0,12,1,3,7,12,7,11,2,3,0,12,0,12
1400000US53003960400,53003960400,"Census Tract 9604, Asotin County, Washington",140,88,60,38,38,32,6,9,6,9,10,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,80,59,0,12,6,10,0,12,0,12,25,33,28,41,0,12,0,12,0,12,21,29,0,12,0,12,0,12,0,12
1400000US53003960500,53003960500,"Census Tract 9605, Asotin County, Washington",312,144,168,84,14,21,21,24,23,33,25,28,0,12,45,54,0,12,17,29,0,12,0,12,0,12,0,12,23,36,0,12,144,81,30,39,27,32,25,28,0,12,0,12,39,45,9,15,0,12,9,19,0,12,0,12,5,8,0,12,0,12
1400000US53003960600,53003960600,"Census Tract 9606, Asotin County, Washington",102,81,63,54,7,12,0,12,0,12,0,12,0,12,10,16,9,14,0,12,30,45,0,12,4,7,0,12,3,5,0,12,39,39,7,12,0,12,0,12,0,12,0,12,18,21,9,15,0,12,0,12,0,12,3,8,2,5,0,12,0,12
1400000US53005010100,53005010100,"Census Tract 101, Benton County, Washington",116,85,76,67,28,43,0,12,0,12,0,12,0,12,0,12,0,12,14,22,0,12,22,23,12,15,0,12,0,12,0,12,40,41,0,12,11,17,0,12,0,12,0,12,0,12,0,12,12,20,0,12,17,19,0,12,0,12,0,12,0,12
1400000US53005010201,53005010201,"Census Tract 102.01, Benton County, Washington",324,222,94,61,0,12,0,12,18,28,6,9,8,15,9,14,0,12,31,45,18,21,4,9,0,12,0,12,0,12,0,12,230,179,41,50,24,34,52,56,6,11,9,15,6,11,34,47,0,12,13,16,6,10,24,26,15,22,0,12,0,12
1400000US53005010202,53005010202,"Census Tract 102.02, Benton County, Washington",1175,365,685,346,105,78,53,58,193,147,149,135,0,17,68,91,69,56,0,17,42,30,0,17,6,14,0,17,0,17,0,17,490,157,115,108,64,56,63,57,25,36,12,19,31,42,54,62,0,17,80,65,46,50,0,17,0,17,0,17,0,17
1400000US53005010300,53005010300,"Census Tract 103, Benton County, Washington",547,201,326,171,22,34,20,33,21,24,17,20,56,38,33,45,25,35,0,17,67,63,46,39,0,17,0,17,19,33,0,17,221,121,37,52,70,38,18,29,33,36,0,17,17,26,0,17,30,43,16,19,0,17,0,17,0,17,0,17,0,17
1400000US53005010400,53005010400,"Census Tract 104, Benton County, Washington",310,132,163,86,22,32,0,12,0,12,0,12,0,12,56,68,0,12,9,14,55,44,0,12,0,12,21,30,0,12,0,12,147,69,12,16,0,12,6,9,0,12,0,12,36,50,30,42,22,26,0,12,12,19,0,12,29,44,0,12,0,12
1400000US53005010500,53005010500,"Census Tract 105, Benton County, Washington",363,172,257,113,0,12,25,39,25,39,38,40,0,12,0,12,63,56,30,45,4,8,58,87,14,18,0,12,0,12,0,12,106,119,0,12,56,79,0,12,0,12,0,12,37,43,0,12,0,12,0,12,13,21,0,12,0,12,0,12,0,12
1400000US53005010600,53005010600,"Census Tract 106, Benton County, Washington",478,193,252,142,68,48,32,30,0,12,0,12,16,26,18,28,36,34,24,34,25,25,11,14,20,22,2,4,0,12,0,12,226,74,61,40,21,21,48,29,0,12,0,12,0,12,45,43,21,30,0,12,22,27,7,13,0,12,1,5,0,12
