GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53001950100,53001950100,"Census Tract 9501, Adams County, Washington",2569,238,2414,192,2,4,7,8,21,34,3,5,64,57,58,63,5,7,53,62
1400000US53001950200,53001950200,"Census Tract 9502, Adams County, Washington",1720,167,1578,175,0,12,6,8,8,9,4,8,95,47,29,29,10,11,19,27
1400000US53001950300,53001950300,"Census Tract 9503, Adams County, Washington",6934,334,3905,586,0,17,59,94,36,51,30,31,2647,539,257,134,156,129,101,75
1400000US53001950400,53001950400,"Census Tract 9504, Adams County, Washington",2942,315,2079,289,5,12,0,12,32,36,0,12,786,306,40,41,0,12,40,41
1400000US53001950500,53001950500,"Census Tract 9505, Adams County, Washington",4786,312,2807,582,11,21,0,12,87,63,0,12,1724,525,157,102,10,16,147,99
1400000US53003960100,53003960100,"Census Tract 9601, Asotin County, Washington",4163,283,3713,277,0,12,54,62,111,62,65,90,8,12,212,102,31,38,181,101
1400000US53003960200,53003960200,"Census Tract 9602, Asotin County, Washington",4634,274,4454,270,17,25,67,103,24,31,0,12,9,16,63,46,0,12,63,46
1400000US53003960300,53003960300,"Census Tract 9603, Asotin County, Washington",3192,292,2956,303,70,42,90,54,13,17,0,12,6,8,57,49,15,24,42,39
1400000US53003960400,53003960400,"Census Tract 9604, Asotin County, Washington",2360,182,2212,223,28,35,10,16,5,7,0,12,62,81,43,70,0,12,43,70
1400000US53003960500,53003960500,"Census Tract 9605, Asotin County, Washington",3913,298,3647,350,7,12,18,38,3,6,0,12,111,89,127,82,42,46,85,61
1400000US53003960600,53003960600,"Census Tract 9606, Asotin County, Washington",3693,267,3601,268,1,2,9,11,13,16,7,10,0,12,62,46,9,16,53,41
1400000US53005010100,53005010100,"Census Tract 101, Benton County, Washington",4339,245,3958,239,0,12,12,19,289,92,0,12,2,4,78,56,8,13,70,55
1400000US53005010201,53005010201,"Census Tract 102.01, Benton County, Washington",4870,268,4225,318,165,197,24,30,329,186,0,12,23,24,104,69,0,12,104,69
