GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US53001950100,53001950100,"Census Tract 9501, Adams County, Washington",24966,3013
1400000US53001950200,53001950200,"Census Tract 9502, Adams County, Washington",23781,3232
1400000US53001950300,53001950300,"Census Tract 9503, Adams County, Washington",15019,1524
1400000US53001950400,53001950400,"Census Tract 9504, Adams County, Washington",15763,1901
1400000US53001950500,53001950500,"Census Tract 9505, Adams County, Washington",15493,1639
1400000US53003960100,53003960100,"Census Tract 9601, Asotin County, Washington",32591,4682
1400000US53003960200,53003960200,"Census Tract 9602, Asotin County, Washington",32689,5488
1400000US53003960300,53003960300,"Census Tract 9603, Asotin County, Washington",18216,2007
1400000US53003960400,53003960400,"Census Tract 9604, Asotin County, Washington",19339,2139
1400000US53003960500,53003960500,"Census Tract 9605, Asotin County, Washington",17157,1536
1400000US53003960600,53003960600,"Census Tract 9606, Asotin County, Washington",23612,2792
1400000US53005010100,53005010100,"Census Tract 101, Benton County, Washington",46857,4393
1400000US53005010201,53005010201,"Census Tract 102.01, Benton County, Washington",37721,3583
1400000US53005010202,53005010202,"Census Tract 102.02, Benton County, Washington",28369,2939
1400000US53005010300,53005010300,"Census Tract 103, Benton County, Washington",27076,2982
1400000US53005010400,53005010400,"Census Tract 104, Benton County, Washington",23535,2388
1400000US53005010500,53005010500,"Census Tract 105, Benton County, Washington",20308,2329
1400000US53005010600,53005010600,"Census Tract 106, Benton County, Washington",29984,3911
1400000US53005010701,53005010701,"Census Tract 107.01, Benton County, Washington",33231,3803
1400000US53005010703,53005010703,"Census Tract 107.03, Benton County, Washington",22016,2670
1400000US53005010705,53005010705,"Census Tract 107.05, Benton County, Washington",38383,4109
1400000US53005010707,53005010707,"Census Tract 107.07, Benton County, Washington",37375,4678
1400000US53005010708,53005010708,"Census Tract 107.08, Benton County, Washington",28736,3375
1400000US53005010803,53005010803,"Census Tract 108.03, Benton County, Washington",42903,6523
1400000US53005010805,53005010805,"Census Tract 108.05, Benton County, Washington",41318,3900
1400000US53005010807,53005010807,"Census Tract 108.07, Benton County, Washington",35122,5842
1400000US53005010809,53005010809,"Census Tract 108.09, Benton County, Washington",36736,7655
1400000US53005010810,53005010810,"Census Tract 108.10, Benton County, Washington",45332,5242
1400000US53005010811,53005010811,"Census Tract 108.11, Benton County, Washington",51421,7113
1400000US53005010813,53005010813,"Census Tract 108.13, Benton County, Washington",34489,3240
1400000US53005010814,53005010814,"Census Tract 108.14, Benton County, Washington",47808,7761
1400000US53005010901,53005010901,"Census Tract 109.01, Benton County, Washington",18525,2370
1400000US53005010902,53005010902,"Census Tract 109.02, Benton County, Washington",18325,1756
1400000US53005011001,53005011001,"Census Tract 110.01, Benton County, Washington",22425,4926
1400000US53005011002,53005011002,"Census Tract 110.02, Benton County, Washington",19044,1863
1400000US53005011100,53005011100,"Census Tract 111, Benton County, Washington",23515,1568
1400000US53005011200,53005011200,"Census Tract 112, Benton County, Washington",11833,1587
