GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1400000US53001950100,53001950100,"Census Tract 9501, Adams County, Washington",2046,177,1215,130,1215,130,1072,112,143,81,0,12,831,126
1400000US53001950200,53001950200,"Census Tract 9502, Adams County, Washington",1356,126,781,90,771,89,725,95,46,24,10,11,575,115
1400000US53001950300,53001950300,"Census Tract 9503, Adams County, Washington",4543,257,3175,262,3175,262,2650,266,525,158,0,17,1368,213
1400000US53001950400,53001950400,"Census Tract 9504, Adams County, Washington",2031,205,1373,190,1373,190,1254,172,119,63,0,12,658,120
1400000US53001950500,53001950500,"Census Tract 9505, Adams County, Washington",3041,230,2202,262,2192,263,1948,231,244,139,10,17,839,148
1400000US53003960100,53003960100,"Census Tract 9601, Asotin County, Washington",3371,210,1886,214,1886,214,1769,198,117,48,0,12,1485,156
1400000US53003960200,53003960200,"Census Tract 9602, Asotin County, Washington",3910,230,2046,231,2046,231,1953,224,93,62,0,12,1864,213
1400000US53003960300,53003960300,"Census Tract 9603, Asotin County, Washington",2718,209,1620,206,1620,206,1406,194,214,100,0,12,1098,173
1400000US53003960400,53003960400,"Census Tract 9604, Asotin County, Washington",1961,156,1108,138,1108,138,924,124,184,99,0,12,853,126
1400000US53003960500,53003960500,"Census Tract 9605, Asotin County, Washington",3009,236,1493,199,1493,199,1325,177,168,103,0,12,1516,191
1400000US53003960600,53003960600,"Census Tract 9606, Asotin County, Washington",2933,188,1862,211,1862,211,1785,207,77,56,0,12,1071,162
1400000US53005010100,53005010100,"Census Tract 101, Benton County, Washington",3591,241,2197,164,2197,164,2045,177,152,70,0,12,1394,154
1400000US53005010201,53005010201,"Census Tract 102.01, Benton County, Washington",3837,227,2387,202,2387,202,2249,207,138,58,0,12,1450,164
1400000US53005010202,53005010202,"Census Tract 102.02, Benton County, Washington",4904,303,3158,314,3141,313,2944,286,197,95,17,28,1746,238
1400000US53005010300,53005010300,"Census Tract 103, Benton County, Washington",4464,334,2986,301,2986,301,2768,283,218,124,0,17,1478,255
1400000US53005010400,53005010400,"Census Tract 104, Benton County, Washington",2675,223,1914,178,1914,178,1811,180,103,61,0,12,761,158
1400000US53005010500,53005010500,"Census Tract 105, Benton County, Washington",2345,228,1495,195,1486,196,1391,176,95,65,9,14,850,146
1400000US53005010600,53005010600,"Census Tract 106, Benton County, Washington",3183,262,2004,212,2004,212,1821,224,183,77,0,12,1179,176
1400000US53005010701,53005010701,"Census Tract 107.01, Benton County, Washington",1603,165,960,139,960,139,927,135,33,30,0,12,643,117
1400000US53005010703,53005010703,"Census Tract 107.03, Benton County, Washington",2528,225,1498,179,1498,179,1319,193,179,110,0,12,1030,190
1400000US53005010705,53005010705,"Census Tract 107.05, Benton County, Washington",4101,246,2775,241,2775,241,2642,238,133,86,0,17,1326,176
1400000US53005010707,53005010707,"Census Tract 107.07, Benton County, Washington",2054,149,1542,141,1542,141,1394,140,148,71,0,12,512,106
1400000US53005010708,53005010708,"Census Tract 107.08, Benton County, Washington",1807,159,1088,118,1088,118,1021,114,67,52,0,12,719,151
1400000US53005010803,53005010803,"Census Tract 108.03, Benton County, Washington",5602,337,3465,348,3465,348,3297,327,168,105,0,17,2137,290
1400000US53005010805,53005010805,"Census Tract 108.05, Benton County, Washington",4699,468,3197,431,3197,431,3011,424,186,112,0,17,1502,239
1400000US53005010807,53005010807,"Census Tract 108.07, Benton County, Washington",932,114,555,98,555,98,523,97,32,32,0,12,377,100
1400000US53005010809,53005010809,"Census Tract 108.09, Benton County, Washington",5163,426,3728,452,3712,450,3545,429,167,102,16,25,1435,277
1400000US53005010810,53005010810,"Census Tract 108.10, Benton County, Washington",4072,258,2575,220,2575,220,2360,219,215,95,0,17,1497,190
1400000US53005010811,53005010811,"Census Tract 108.11, Benton County, Washington",2586,271,1736,218,1736,218,1705,223,31,31,0,12,850,145
1400000US53005010813,53005010813,"Census Tract 108.13, Benton County, Washington",7769,427,4785,369,4753,364,4543,343,210,120,32,54,2984,324
1400000US53005010814,53005010814,"Census Tract 108.14, Benton County, Washington",2212,180,1481,169,1481,169,1467,166,14,18,0,12,731,169
1400000US53005010901,53005010901,"Census Tract 109.01, Benton County, Washington",5296,482,2941,339,2941,339,2714,320,227,102,0,17,2355,449
1400000US53005010902,53005010902,"Census Tract 109.02, Benton County, Washington",3523,312,2260,262,2260,262,2162,245,98,68,0,12,1263,248
1400000US53005011001,53005011001,"Census Tract 110.01, Benton County, Washington",3513,437,2052,297,2052,297,1962,289,90,77,0,12,1461,344
