"County Name","Census Tract","Population","Body Mass Index","IBL Ranking"
"n/a","State Total","--","22.94","6"
"Adams","53001950100","120","22.76","5"
"Adams","53001950200","168","23.71","9"
"Adams","53001950300","725","23.8","9"
"Adams","53001950400","303","22.99","6"
"Adams","53001950500","290","23.29","7"
"Asotin","53003960100","284","22.23","3"
"Asotin","53003960200","295","22.7","5"
"Asotin","53003960300","112","23.68","8"
"Asotin","53003960400","173","23.66","8"
"Asotin","53003960500","279","24.99","10"
"Asotin","53003960600","190","22.96","6"
"Benton","53005010100","319","22.86","5"
"Benton","53005010201","316","22.55","4"
"Benton","53005010202","554","23.26","7"
"Benton","53005010300","392","23.1","6"
"Benton","53005010400","334","23.9","9"
"Benton","53005010500","241","22.9","5"
"Benton","53005010600","242","22.95","6"
"Benton","53005010701","106","23.64","8"
"Benton","53005010703","102","22.68","4"
"Benton","53005010705","441","22.45","4"
"Benton","53005010707","247","22.37","3"
"Benton","53005010708","108","23.14","6"
"Benton","53005010803","557","22.15","2"
"Benton","53005010805","321","22.25","3"
"Benton","53005010807","198","22.71","5"
"Benton","53005010809","535","22.67","4"
"Benton","53005010810","251","21.8","2"
"Benton","53005010811","213","21.43","1"
"Benton","53005010813","748","22.46","4"
"Benton","53005010814","202","21.99","2"
"Benton","53005010901","435","24.23","10"
"Benton","53005010902","363","23.32","7"
"Benton","53005011001","223","23.29","7"
"Benton","53005011002","274","24.11","10"
"Benton","53005011100","426","24.08","9"
"Benton","53005011200","609","24.54","10"
"Benton","53005011300","417","24.53","10"
"Benton","53005011401","316","23.81","9"
"Benton","53005011402","367","23.16","7"
"Benton","53005011501","522","24.13","10"
"Benton","53005011503","427","22.74","5"
"Benton","53005011504","297","23.63","8"
"Benton","53005011600","100","22.62","4"
"Benton","53005011700","382","23.77","9"
"Benton","53005011800","714","23.5","8"
"Benton","53005011900","464","24.07","9"
"Benton","53005012000","--","--","**"
"Chelan","53007960100","184","23.07","6"
"Chelan","53007960200","331","22.21","3"
"Chelan","53007960300","543","23.27","7"
"Chelan","53007960400","108","23.01","6"
"Chelan","53007960500","469","22.74","5"
"Chelan","53007960600","319","22.83","5"
"Chelan","53007960700","242","22.45","4"
"Chelan","53007960801","260","21.67","1"
"Chelan","53007960802","457","23.24","7"
"Chelan","53007961000","377","23.19","7"
"Chelan","53007961100","767","23.79","9"
"Chelan","53007961200","244","23.39","7"
"Chelan","53007961301","64","22.81","5"
"Chelan","53007961302","608","22.61","4"
"Clallam","53009000200","103","25.33","10"
"Clallam","53009000300","300","23.72","9"
"Clallam","53009000400","105","24.82","10"
"Clallam","53009000600","137","23.15","6"
"Clallam","53009000700","217","23.46","8"
"Clallam","53009000800","171","25.03","10"
"Clallam","53009000900","144","23.02","6"
