"County Name","Census Tract","Population","Body Mass Index","IBL Ranking"
"n/a","State Total","4934261","26.32","5"
"Adams","53001950100","1921","27.22","9"
"Adams","53001950200","1179","27.39","9"
"Adams","53001950300","3939","27.49","10"
"Adams","53001950400","1643","27.5","10"
"Adams","53001950500","2678","27.7","10"
"Asotin","53003960100","3089","26.87","7"
"Asotin","53003960200","3569","27.14","8"
"Asotin","53003960300","2594","28.03","10"
"Asotin","53003960400","1730","27.74","10"
"Asotin","53003960500","2504","27.81","10"
"Asotin","53003960600","2598","27.52","10"
"Benton","53005010100","3340","25.77","3"
"Benton","53005010201","3308","26.45","6"
"Benton","53005010202","4125","27.2","9"
"Benton","53005010300","4109","27.46","9"
"Benton","53005010400","2489","27.61","10"
"Benton","53005010500","1988","27.33","9"
"Benton","53005010600","3041","27.25","9"
"Benton","53005010701","1370","27.39","9"
"Benton","53005010703","2231","27.5","10"
"Benton","53005010705","3797","26.68","6"
"Benton","53005010707","1799","26.75","7"
"Benton","53005010708","1591","26.87","7"
"Benton","53005010803","4780","26.13","4"
"Benton","53005010805","4176","26.31","5"
"Benton","53005010807","786","27.09","8"
"Benton","53005010809","4612","27.08","8"
"Benton","53005010810","3516","25.96","4"
"Benton","53005010811","2385","25.58","3"
"Benton","53005010813","6538","26.39","5"
"Benton","53005010814","1942","25.93","4"
"Benton","53005010901","4881","27.74","10"
"Benton","53005010902","3096","27.79","10"
"Benton","53005011001","3016","27.6","10"
"Benton","53005011002","2951","27.97","10"
"Benton","53005011100","5485","27.79","10"
"Benton","53005011200","4692","28.01","10"
"Benton","53005011300","3601","28.16","10"
"Benton","53005011401","2462","27.94","10"
"Benton","53005011402","3982","27.32","9"
"Benton","53005011501","4996","27.82","10"
"Benton","53005011503","6112","26.59","6"
"Benton","53005011504","2050","27.17","9"
"Benton","53005011600","620","27.73","10"
"Benton","53005011700","5045","27.33","9"
"Benton","53005011800","4732","27.26","9"
"Benton","53005011900","3811","27.91","10"
"Benton","53005012000","16","25.58","3"
"Chelan","53007960100","1829","26.88","7"
"Chelan","53007960200","4735","25.35","2"
"Chelan","53007960300","4835","26.12","4"
"Chelan","53007960400","2505","26.15","4"
"Chelan","53007960500","4432","26.38","5"
"Chelan","53007960600","2834","26.79","7"
"Chelan","53007960700","2808","25.75","3"
"Chelan","53007960801","2284","25.34","2"
"Chelan","53007960802","4884","26.78","7"
"Chelan","53007961000","4525","27.15","8"
"Chelan","53007961100","6025","27.42","9"
"Chelan","53007961200","3025","26.72","7"
"Chelan","53007961301","933","25.65","3"
"Chelan","53007961302","5712","26.17","4"
"Clallam","53009000200","1265","27.04","8"
"Clallam","53009000300","3415","27.27","9"
"Clallam","53009000400","1152","27.58","10"
"Clallam","53009000600","2510","26.22","5"
"Clallam","53009000700","2926","26.78","7"
"Clallam","53009000800","3152","27.06","8"
"Clallam","53009000900","2074","26.4","5"
"Clallam","53009001000","1888","26.73","7"
"Clallam","53009001100","2035","26.15","4"
"Clallam","53009001200","2838","26.41","5"
"Clallam","53009001300","2696","26.89","7"
"Clallam","53009001400","3538","26.11","4"
"Clallam","53009001500","1546","26.46","6"
"Clallam","53009001600","2585","26.28","5"
"Clallam","53009001700","3640","26.22","5"
"Clallam","53009001800","1902","26.09","4"
"Clallam","53009001900","4587","25.85","3"
"Clallam","53009002000","4245","26.09","4"
"Clallam","53009002100","2582","26.71","7"
"Clallam","53009002300","3446","25.85","3"
"Clallam","53009940000","1008","28.49","10"
"Clallam","53009990100","--","--","**"
"Clark","53011040101","2935","26.58","6"
"Clark","53011040102","2021","26.36","5"
"Clark","53011040201","4068","26.29","5"
"Clark","53011040202","2705","26.25","5"
"Clark","53011040203","3631","26.34","5"
"Clark","53011040301","1212","26.13","4"
"Clark","53011040302","4324","26.22","5"
"Clark","53011040403","2957","26.4","5"
"Clark","53011040407","3351","27.24","9"
"Clark","53011040408","2384","26.26","5"
"Clark","53011040409","1190","25.83","3"
"Clark","53011040411","1295","25.97","4"
"Clark","53011040412","3103","26.17","4"
"Clark","53011040413","1822","26.83","7"
"Clark","53011040414","3622","26.96","8"
"Clark","53011040415","2509","27.13","8"
"Clark","53011040416","2188","26.16","4"
"Clark","53011040504","3503","26.04","4"
"Clark","53011040505","3828","26.04","4"
"Clark","53011040507","1643","27.69","10"
"Clark","53011040508","4364","26.38","5"
"Clark","53011040509","2301","27.32","9"
"Clark","53011040510","3776","25.82","3"
"Clark","53011040511","1747","25.84","3"
"Clark","53011040603","3537","25.89","4"
"Clark","53011040604","3717","26.51","6"
"Clark","53011040605","2968","26.02","4"
"Clark","53011040608","2545","24.96","2"
"Clark","53011040609","3014","24.95","2"
"Clark","53011040610","2320","25.15","2"
"Clark","53011040703","4353","27.29","9"
"Clark","53011040706","2540","27.34","9"
"Clark","53011040707","2346","27.34","9"
"Clark","53011040709","2765","26.26","5"
"Clark","53011040710","3197","26.42","6"
"Clark","53011040711","2096","27.55","10"
"Clark","53011040712","3518","27.04","8"
"Clark","53011040803","3859","26.24","5"
"Clark","53011040805","4056","26.2","5"
"Clark","53011040806","3578","26.59","6"
"Clark","53011040808","1023","27.04","8"
"Clark","53011040809","3747","26.73","7"
"Clark","53011040810","1829","27.05","8"
"Clark","53011040904","4636","26.97","8"
"Clark","53011040905","2360","25.83","3"
"Clark","53011040907","3064","25.42","2"
"Clark","53011040908","4384","26.18","5"
"Clark","53011040909","4022","26.29","5"
"Clark","53011040910","2740","26.23","5"
"Clark","53011041003","2982","26.23","5"
"Clark","53011041005","1774","27.63","10"
"Clark","53011041007","2225","26.94","7"
"Clark","53011041008","2842","26.04","4"
"Clark","53011041009","2824","27.04","8"
"Clark","53011041010","2709","27.13","8"
"Clark","53011041011","2228","26.78","7"
"Clark","53011041104","2711","27.4","9"
"Clark","53011041105","3841","26.86","7"
"Clark","53011041107","1823","26.13","4"
"Clark","53011041108","4763","27.13","8"
"Clark","53011041110","3851","27.12","8"
"Clark","53011041111","2277","27.15","8"
"Clark","53011041112","3852","26.96","8"
"Clark","53011041201","5237","26.28","5"
"Clark","53011041203","3387","27.16","9"
"Clark","53011041205","3433","26.84","7"
"Clark","53011041206","3632","27.01","8"
"Clark","53011041309","3534","26.44","6"
"Clark","53011041310","3687","25.62","3"
"Clark","53011041312","2912","27.35","9"
"Clark","53011041313","1782","27.48","10"
"Clark","53011041317","2969","27.07","8"
"Clark","53011041318","3262","27.03","8"
"Clark","53011041319","4111","26.47","6"
"Clark","53011041320","4833","26.95","8"
"Clark","53011041321","2059","26.3","5"
"Clark","53011041322","3213","26.94","7"
"Clark","53011041323","3995","26.76","7"
"Clark","53011041325","3599","25.09","2"
"Clark","53011041326","1606","27.13","8"
"Clark","53011041327","5559","26","4"
"Clark","53011041328","3678","25.67","3"
"Clark","53011041329","2612","25.7","3"
"Clark","53011041330","3169","27.2","9"
"Clark","53011041331","1956","27.27","9"
"Clark","53011041332","2772","26.93","7"
"Clark","53011041333","2255","27.07","8"
"Clark","53011041400","3253","26.23","5"
"Clark","53011041500","2096","26.62","6"
"Clark","53011041600","2358","27.37","9"
"Clark","53011041700","2599","27.29","9"
"Clark","53011041800","2559","27.36","9"
"Clark","53011041900","1445","26.26","5"
"Clark","53011042000","1386","25.89","4"
"Clark","53011042100","2123","26.4","5"
"Clark","53011042300","2407","26.46","6"
"Clark","53011042400","1931","26.31","5"
"Clark","53011042500","981","25.96","4"
"Clark","53011042600","3972","26.5","6"
"Clark","53011042700","3285","27.5","10"
"Clark","53011042800","2096","25.89","4"
"Clark","53011042900","962","26.85","7"
"Clark","53011043000","1333","26.78","7"
"Clark","53011043100","3085","26.33","5"
"Columbia","53013960200","2952","27.09","8"
"Cowlitz","53015000300","417","27.03","8"
"Cowlitz","53015000400","2742","26.31","5"
"Cowlitz","53015000501","2049","27.25","9"
"Cowlitz","53015000502","3257","28.07","10"
