predict_all true_all
16736.7547772299 18380
15996.4768792428 15909
22760.8253118529 24902
32214.3561616468 41564
34596.2808546871 25029
62850.5371510073 46148
25230.2651090706 17801
25231.7737409727 20805
57386.5071140259 35302
59982.4088342334 29157
37806.8506521194 29264
37724.0018086432 38664
34269.6521575269 22143
40628.1294742163 25730
30945.9866198198 28895
20224.2147881111 29386
34362.50557443 25797
28687.1781176805 45157
28816.0314963761 30233
32124.1917519342 17112
27145.3265016851 13386
20358.8799115777 14062
32457.2244546207 24155
18245.3082343441 12905
21549.276582335 12240
35017.3877044698 16894
21882.7963042456 12527
14519.0321171312 13083
21889.6081461062 14632
11126.5249937957 12572
8715.19700333824 12899
12746.0798109878 13886
12733.4332321942 12153
13528.6068500181 13653
19400.3191434398 8167
19641.506355317 11607
28023.5720336611 16520
13311.520646554 13787
22446.0837874646 12120
14886.4122248804 12963
22845.0580325493 28025
14592.4781948857 18771
40632.743304145 28095
22434.859886016 20889
21856.4865226509 22061
17608.1006022449 15414
18730.8257255117 16305
17040.2775216762 17352
25965.9577117402 23513
21295.3031724725 14588
21312.7151415296 13488
25837.3716241155 25675
14964.5397306553 17188
50140.1648913009 36861
21011.6973425267 16841
35678.2331290307 43815
38229.5393228488 33872
42114.0110860013 45263
67338.1576690424 39738
30771.697696543 28649
21647.1818146191 12976
24782.7124184236 26693
17860.309686537 18094
39878.8920355614 49609
55348.7774597626 37181
47172.4455950078 48216
42584.4005866122 38826
44538.5097681406 40975
52618.7189965637 46685
20332.8387228129 21424
30786.8253726399 28749
36276.6836012122 25948
25821.7424601688 22881
23756.7398008347 15529
34292.5841085326 22541
29417.947276912 21900
28038.1900313225 23643
28259.8287067202 25290
28842.1989142321 32155
33632.691909768 31092
31356.2347657282 30692
27040.693802835 30935
44856.4018195109 48572
34014.9908995333 31468
40841.1662634836 36305
22388.7099477446 25539
28438.0561200492 30285
28966.7298548104 29398
33338.9290169295 33377
56963.5489889047 45863
38556.7218881299 49932
21925.2040070467 31618
20460.8602711011 32921
43441.1266056804 35654
34101.029556269 42897
26602.7073364208 17144
26109.4581954878 20045
34271.6942272715 49576
31424.3509092959 39402
27836.3838859984 33713
24698.0747144499 25429
31115.5762850575 38994
23355.2509487734 26147
22574.9483414612 17812
31187.0844636032 24331
40743.9869102664 47096
10880.0850710397 5599
42856.6514673634 28826
28967.6532146391 25166
40795.4968432797 26106
35268.5728408383 33932
16068.307773012 15482
