predict_all true_all
25274.9365355681 41710
24827.0943247132 25307
37386.6930322457 41018
15713.5256684894 10705
17696.6594008319 21424
32497.5459675639 43510
16878.3115374975 15412
14025.007709107 13841
43781.9068973896 41542
25333.3125648933 24183
41877.6019294819 49698
10255.4940077352 10237
11411.9254616625 12482
13272.5914321719 11042
13122.2513819966 10934
17198.485691366 14135
13805.1353345502 8181
13185.0683394398 10293
14968.9544951077 12557
21214.1942717159 19716
17511.5394417706 12910
14473.2841527526 10996
17408.4244304427 14158
40185.048843744 36069
26439.4967115534 26388
12744.1161426168 9934
15789.2103322154 12182
13537.2124814419 14827
31029.4488608236 34180
39557.8252921533 45655
18686.1291698042 24253
12769.3779540932 16390
19668.2651634546 17796
13652.991506963 13057
47783.584389126 60642
41857.5404553544 71233
4820.85860526037 7698
16426.0186580581 15130
10080.6586667122 8768
14291.1061226304 11304
13718.5198632102 10642
9679.70274053837 16278
14539.4245667462 13937
12998.8548642261 9024
13220.4836977092 11731
8018.49532651111 14619
11384.7058981851 14041
22628.3460925269 38737
19828.9010425978 18412
11051.3205479928 16153
21045.0506849278 25425
8944.42211704616 9834
14144.9259192791 8884
11169.4985884896 12724
21151.6075492446 14240
55146.5171414824 66135
35876.3444714236 39232
22516.5672799474 20435
26445.6583211807 23485
19585.3476777172 14869
16222.0305423078 12117
9664.24775683413 12892
18900.3075984005 13947
15205.064249762 13029
25931.3467141493 15555
12937.0983560305 11936
14224.5069934386 15550
21465.4693856666 9817
46823.8528323925 76818
36108.2257038528 41399
15562.9819668964 22219
17392.4529951642 11604
14126.248141392 11447
16634.1862946165 13755
30046.0854649333 36808
32046.8930698023 33846
22443.8917227703 28213
34565.7311413307 40375
48575.7492390891 61706
9462.18470171049 16141
16391.2543180201 16341
24202.9438427943 12239
13119.8406324922 9462
16206.0249948735 12982
17087.0318834514 9522
17352.2472329101 11988
10138.0684260888 11724
15469.0119724585 15906
14934.2019149717 11212
15566.6477356 11919
18284.2693501159 12631
22121.9488417546 12706
15719.9365707981 11471
20064.4493279874 15936
19498.1049510802 15636
19356.6477541879 15301
22065.7753905351 19128
24413.160937025 16002
13399.9186674702 16309
11436.8855977687 13237
17914.6519938266 10049
14592.0096728444 16039
15022.0076315468 8303
14898.5662341104 11384
8918.93752309126 9224
12783.9322818189 11857
24306.0986730852 17300
21864.7149902162 19366
23387.3864922855 16392
21773.1805840514 11362
17919.4204601162 10628
18854.4782680154 19876
21327.4940625811 13066
21892.413740808 19835
20324.3431613161 21945
19491.8304149833 13816
16638.4754355724 27219
22330.1171303864 21998
24093.8592510102 27446
24382.6719590474 28333
24472.7220456637 22701
25969.6774644937 34799
16301.3038813841 18147
24513.9020872795 20427
23285.3365025254 25252
31419.3208172183 32527
31359.8777912576 20816
27616.8432114645 29743
33288.9158273779 35298
33243.5844689777 24351
35684.9110496552 42149
34838.8422501582 35559
30254.0830371275 40854
33207.9324293272 43550
31313.2785515731 33046
29460.5474363905 30829
32842.9303125851 30309
14985.7081256213 7196
47651.087901823 97977
48348.7185065607 45556
39152.1060262504 55257
28304.546245483 27864
31763.7298827807 32322
26503.9849560502 26965
35034.9762684124 44953
19715.5582006369 15246
19413.64746591 11538
19139.0682558051 22815
20607.8835647742 17587
23191.8593222007 14093
20099.0115021321 13180
22727.1298355702 17476
16652.1370142486 17679
21205.021989915 22650
21302.4636472465 20956
18213.119405236 19618
28409.9588061106 24258
17809.7776057008 14592
19237.4417164766 10288
23868.0818949841 17831
12822.6456633041 21591
21805.6113109797 14050
18039.3842503979 14095
20073.2928030216 23154
16733.6802987005 19577
19275.3427324814 16961
17308.0988870101 14767
14898.7558999276 15706
16571.3647578415 11703
20634.3223411303 16778
19628.0982895863 18967
15792.0705956836 13142
19852.9966741569 19599
17605.5628861492 20977
14745.4624760573 14112
15709.5387003239 12517
14990.9803358575 7209
22281.7208638841 14840
