predict_all true_all
26963.1472954046 33852
23391.6240597654 26985
32828.1633570403 34761
26944.9800966888 25612
45095.3148421786 37792
23077.4722360344 29080
28541.6700865716 33813
21482.1302729412 19737
23535.295762557 24797
24732.4485608494 25319
21118.058861766 15846
20873.8917147735 21894
25817.357893953 33953
20761.962021094 34975
18037.5556944504 17246
22240.6767797774 23545
17912.5192502181 16558
12585.1189496525 6993
8151.5209507834 8331
14593.4187753553 12976
16278.993236277 13070
18477.1547815832 18528
30030.6635376337 27740
25002.3138989371 34626
26298.4640646232 27181
17600.2940288497 14016
24183.3394869786 22625
13898.483609481 16231
18747.9399589393 15978
39846.1424632103 32285
37118.2645686363 32917
42783.0233925594 75824
19082.5604969101 18784
19580.3261797546 15982
27710.302010126 38995
24840.6080115828 22018
40609.4131035153 52171
31308.2379357273 29696
45549.1402586416 44497
28520.838125097 28066
27516.9670176129 28039
40830.6063219023 42940
39885.5103454542 26841
23779.7031568218 22808
19066.4825388208 18815
20749.583501412 28121
22175.1308435679 26785
25819.1820166295 27085
26109.8616073364 27827
28856.32330966 26260
27121.9867937847 28626
40253.9320112983 44074
32994.9495415763 37317
42532.5865126683 46505
35472.973384082 39027
42225.2663973311 41151
19759.8782867621 26260
39268.6200832634 34464
11340.8776936634 9875
11688.9833958865 10722
14130.9741462042 12093
12357.9163992402 8865
16506.3764565521 10291
12954.5156852653 10564
9767.93970683954 11773
13350.1357520096 11569
16318.9235524888 12149
19076.7672101773 15517
14692.4344118945 13041
21532.9088761079 18027
17952.8367049165 15580
19505.3496075834 20262
17516.3680639354 18252
17629.7212450789 20314
18637.9376704552 19632
20223.878843083 18208
16412.2582509482 13111
19816.7923452335 22626
18942.1684844276 23741
23382.5849861557 22752
17049.1441522891 27772
16029.2537569621 19112
14765.9472826065 15001
18098.7298866664 12282
12818.0667300997 16250
14455.4738187489 18375
11513.1500535846 12031
15451.0046510728 15946
14383.506464464 12591
17417.249013283 13920
14151.4692624052 11460
18422.1520376515 12998
16445.3641391958 12160
20896.002655226 14895
20020.0098215807 18647
21994.4553553382 21968
14100.370325525 18306
19022.9685726632 17943
16096.0828751665 17536
20391.7435941434 20571
22546.7983804167 20770
21261.5370684135 14764
14967.7686613667 11961
14637.5427414764 14013
12701.7088339266 11743
17019.3005382603 13084
13738.5041722575 12368
17897.5220960893 14498
22093.9299154681 8233
17109.9187050179 14991
13871.7178385523 14026
16506.063035918 14711
16644.3860316991 14762
16375.1510107968 14042
14150.2243455887 13472
11270.0820490367 11558
13070.9285904904 18422
17071.2403298351 16294
15497.6601544128 15292
21584.6141024255 15848
17499.3979566765 15735
21256.759692255 16692
13243.0921590263 10147
10964.8084631469 15179
11782.1368010622 14584
15189.3534668003 15675
13019.942025812 8856
11599.9116102627 15642
14972.3724583021 9550
14028.6927410512 15029
14090.8176564831 13408
14077.9633401229 13646
15009.7260722285 11634
17273.2627173776 11295
15737.6949577087 12830
17179.6715926061 12614
14829.2634983137 12018
14905.9904716931 8876
19715.4365880166 8489
16699.2115005271 14494
16143.649338567 13437
14237.7848678432 13865
21760.1374525645 14452
19440.6044059497 22107
16881.3825251755 13983
10352.1733086209 9567
12049.3612290876 10539
12261.0905653679 11019
15057.270264483 9056
12183.5129208973 8043
11488.1980645149 11887
11529.0856739598 14640
13668.7089846161 13682
12234.7621018846 11486
11712.0670156911 9063
13776.6352655066 11140
13786.9195675432 10485
14297.6450053509 11209
11462.7927348379 10581
8553.98342792617 13694
12878.9161146076 11787
12952.617549294 10062
13686.2689843219 10826
17211.1028316398 11814
14465.8321266873 14598
14925.6167316184 11577
13015.5830657897 10180
16751.4682357473 15256
15884.0064081846 14044
16135.6874831412 12291
18354.3977046226 16571
14048.9178181289 16526
32743.0686808681 29586
17570.0570575441 18301
20642.7095437305 18845
21720.9745915289 22753
26342.8922697245 21936
19751.8599074462 24926
31715.5037149814 27412
17859.5213101102 19457
22197.988396535 18979
