predict_all true_all
50573.4729900946 55740
45244.9962342634 47506
50385.2828281126 49817
54918.8285899545 43320
36298.3638290934 38325
40587.9404319092 27784
42442.2513585556 40989
38527.9989839212 38984
49782.3150790995 45029
42759.4380054656 49564
46224.8526658721 45211
41287.9455754358 36813
37731.897203088 35241
46198.8450784517 62368
43343.4556550769 52191
51306.4568193331 61492
48356.1006998458 69275
56210.1039754632 65972
44793.4128162606 63627
43825.5203060915 37986
47824.5733440761 48983
34837.9181222399 34324
53930.4213632735 56696
51032.3442634329 45561
56974.1953043291 66763
42666.9047870218 43672
53654.4541350843 68845
58683.9935274392 61706
30915.1455541794 23529
35338.5027928119 38296
48732.244305067 65063
37495.2619437406 33424
40241.5760283648 34139
46677.0809905164 39413
57723.0422386382 62852
36316.2334160193 34525
44792.7033922896 41139
44743.6183475023 30345
51552.1857179357 31193
38931.9334174192 31669
36861.6290522837 33268
37106.033413097 36149
47178.188491051 35365
50223.3697732487 56337
40990.0139705317 54256
38472.972559997 47696
35031.0723286865 34382
42957.4826469576 40825
40098.9937147315 44932
41936.5418678127 46593
45489.3825472783 42853
56245.3065726938 56193
45097.7128689937 47019
45463.7402874092 50378
44556.5203915291 45898
42619.8031378629 54794
46804.3984430617 41206
44835.4553051022 46642
49722.5563256477 44457
41444.4030359472 44694
40692.5418426656 45092
43516.6221414228 45061
45398.2914447603 50769
49997.7862544278 45420
36744.967883647 48289
48737.0827696318 49911
43322.2342134072 45932
54410.763060221 53324
57922.786288539 66841
47628.5234128571 53766
53389.5533695907 44132
35294.6401342148 11582
40219.2903652804 32368
41391.0620498203 41762
49949.3944469224 54791
43249.7467180576 48600
48590.1145204313 47792
39219.9567073524 46194
41671.7117599198 45548
52818.7109972646 57658
41977.4967429771 25828
34265.3033162418 10378
29738.1019639013 3238
47552.002929512 52746
52617.5102184083 73016
52905.1378520064 54069
35011.6643942395 40184
34126.3536186025 45831
49210.9752053251 51307
48931.8367996503 66760
54385.5164173656 63790
54576.6353743284 64355
59962.2602552563 98446
61626.9358888426 80497
56959.637402845 90177
47559.6585338745 60664
41361.5685758702 59842
44508.2070882894 63348
52462.6331325588 62845
50902.2266903585 68211
52354.2897718575 65432
47107.3244920196 61430
56928.8335715803 63660
45519.8654587594 59550
48133.7202711409 39833
38619.2451469991 44146
45727.1199733512 46292
47832.6643734939 52029
58408.8026017005 87539
37987.5828100427 43098
53137.3443550604 64133
59692.7473995803 56812
53932.5308344847 64961
49022.3085433287 55283
49849.4184699628 49129
49839.2194203244 50785
39144.7101063255 23713
37990.2889093053 23018
43972.2898031249 31951
46285.468325355 39790
54962.6509599372 45939
33465.8736962123 28750
28754.3789169492 21407
37200.4215734798 28028
36851.375545488 32457
31455.6998392479 26897
56508.8529540363 55752
41147.972554491 50090
53996.0762815405 72309
38990.6926256939 45272
39933.9713796791 43850
40516.0286878073 43072
37345.8726469165 29102
41551.2853077455 30546
47830.2464299668 38940
45914.7009368594 49701
29902.4501239178 24059
36524.8865914563 25106
32207.655887604 31623
42761.0375258457 43238
42854.8281263652 48568
34224.3473613178 27480
35611.3612910966 22631
38805.1294114071 32269
35464.9197812736 28859
33168.4449051702 16231
25313.9538934127 15682
30287.5166570602 23371
47418.2490277895 29489
26148.3709554756 17494
40949.7502162085 28361
30666.0083034938 28275
29075.1234072493 24147
39162.0650058891 42708
47889.4240505432 58999
24728.4499681567 20261
42300.6751168832 21660
39189.7829708517 26602
38631.4239147638 41324
50450.7494416599 59100
37914.3787320492 31616
31350.7452828024 17078
47257.3028493143 43565
53670.1827638729 54854
42278.3357155935 39686
34309.9198023787 45740
41693.0569117043 60701
34897.1683269035 30160
32478.5947988509 35854
34292.6473556723 35610
22500.9554273018 24356
35077.2262162309 32220
26203.2212782452 28266
35930.273378794 47779
28598.7454133811 27069
27948.6584891896 26310
30419.1638321321 24385
26481.3975986235 17875
19337.3149147523 10364
37484.771726714 32094
31203.0966192623 27648
22734.4314965533 31097
23487.4539298441 24446
26754.4737370787 18975
26800.4280479852 23629
21757.1115479337 19144
23951.6584201465 15964
32102.3777802049 22692
26526.8469249792 21571
29976.2317158242 20371
25261.80725181 20460
23459.1360138003 24939
27396.0323772527 21916
31644.7465726305 24547
31334.6690441289 21915
24016.2842543816 22653
21688.6714665442 16416
29017.9615303526 19739
22038.4309620887 21520
24891.6447602589 23988
27018.0704264696 16956
22135.898597844 16552
22779.2425761757 18338
43036.1866433976 37106
28676.1390223497 32795
30002.0373503987 26029
52983.5274683678 51545
30176.1371964936 26000
38722.0195066136 27671
30258.6826512909 9330
28153.2422326107 16580
38343.7601432686 34688
48826.1903768305 52027
